Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2485,0.1243,0.09112,0.05917,0.03195,0.04497,0.05089,0.06154,0.04260,0.02485,0.03669,0.04497,0.06154,0.08994,0.1408,0.04260,0.03077,0.02249
0.2485, 1.000,0.07219,0.1148,0.1077,0.1207,0.1053,0.03905,0.04497,0.04734,0.03195,0.02840,0.09941,0.08284,0.09467,0.08994,0.03432,0.04852,0.04260
0.1243,0.07219, 1.000,0.04379,0.01775,0.02959,0.06154,0.07456,0.02840,0.08047,0.03314,0.01183,0.02130,0.03787,0.1077,0.1527,0.03077,0.01302,0.02604
0.09112,0.1148,0.04379, 1.000,0.3763,0.02840,0.03432,0.04142,0.06746,0.01420,0.01302,0.06036,0.03669,0.03787,0.06036,0.08402,0.1136,0.05799,0.05562
0.05917,0.1077,0.01775,0.3763, 1.000,0.03550,0.03905,0.05089,0.02367,0.02722,0.01893,0.03314,0.02959,0.03550,0.05325,0.03669,0.09349,0.08521,0.09941
0.03195,0.1207,0.02959,0.02840,0.03550, 1.000,0.05799,0.1065,0.03550,0.08047,0.04970,0.02485,0.04970,0.04142,0.02012,0.05089,0.04142,0.07456,0.08284
0.04497,0.1053,0.06154,0.03432,0.03905,0.05799, 1.000,0.04142,0.03314,0.07456,0.06391,0.07692,0.03905,0.06864,0.08757,0.09467,0.03195,0.04260,0.03314
0.05089,0.03905,0.07456,0.04142,0.05089,0.1065,0.04142, 1.000,0.02959,0.04852,0.05680,0.02604,0.01183,0.007101,0.02722,0.06036,0.05562,0.01657,0.02604
0.06154,0.04497,0.02840,0.06746,0.02367,0.03550,0.03314,0.02959, 1.000,0.05562,0.04734,0.03077,0.007101,0.01538,0.02840,0.05089,0.02367,0.02840,0.03077
0.04260,0.04734,0.08047,0.01420,0.02722,0.08047,0.07456,0.04852,0.05562, 1.000,0.01893,0.01657,0.04024,0.03314,0.03905,0.02959,0.03787,0.04615,0.06864
0.02485,0.03195,0.03314,0.01302,0.01893,0.04970,0.06391,0.05680,0.04734,0.01893, 1.000,0.02840,0.03669,0.03432,0.05444,0.02130,0.009467,0.04970,0.05444
0.03669,0.02840,0.01183,0.06036,0.03314,0.02485,0.07692,0.02604,0.03077,0.01657,0.02840, 1.000,0.01183,0.02012,0.02840,0.04852,0.08876,0.02367,0.03314
0.04497,0.09941,0.02130,0.03669,0.02959,0.04970,0.03905,0.01183,0.007101,0.04024,0.03669,0.01183, 1.000,0.04615,0.05444,0.04260,0.03432,0.05325,0.04142
0.06154,0.08284,0.03787,0.03787,0.03550,0.04142,0.06864,0.007101,0.01538,0.03314,0.03432,0.02012,0.04615, 1.000,0.1278,0.05089,0.01893,0.01775,0.01657
0.08994,0.09467,0.1077,0.06036,0.05325,0.02012,0.08757,0.02722,0.02840,0.03905,0.05444,0.02840,0.05444,0.1278, 1.000,0.1077,0.02722,0.03077,0.01538
0.1408,0.08994,0.1527,0.08402,0.03669,0.05089,0.09467,0.06036,0.05089,0.02959,0.02130,0.04852,0.04260,0.05089,0.1077, 1.000,0.09941,0.01302,0.02840
0.04260,0.03432,0.03077,0.1136,0.09349,0.04142,0.03195,0.05562,0.02367,0.03787,0.009467,0.08876,0.03432,0.01893,0.02722,0.09941, 1.000,0.05325,0.05680
0.03077,0.04852,0.01302,0.05799,0.08521,0.07456,0.04260,0.01657,0.02840,0.04615,0.04970,0.02367,0.05325,0.01775,0.03077,0.01302,0.05325, 1.000,0.3976
0.02249,0.04260,0.02604,0.05562,0.09941,0.08284,0.03314,0.02604,0.03077,0.06864,0.05444,0.03314,0.04142,0.01657,0.01538,0.02840,0.05680,0.3976, 1.000
