Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2998,0.1397,0.1028,0.1479,0.1315,0.1497,0.03412,0.02730,0.03003,0.03458,0.02593,0.07507,0.1110,0.1347,0.1456,0.07552,0.09645,0.1092
0.2998, 1.000,0.1096,0.08917,0.1415,0.1470,0.2075,0.02320,0.02639,0.02957,0.02730,0.03139,0.08144,0.1338,0.1456,0.1306,0.06642,0.09918,0.1028
0.1397,0.1096, 1.000,0.09554,0.07143,0.06824,0.06005,0.04277,0.02775,0.03776,0.03640,0.02138,0.04823,0.07825,0.1187,0.1106,0.07006,0.07370,0.07734
0.1028,0.08917,0.09554, 1.000,0.1906,0.1074,0.05460,0.02002,0.03367,0.04004,0.02730,0.04140,0.09327,0.08963,0.1024,0.09463,0.07279,0.1529,0.1447
0.1479,0.1415,0.07143,0.1906, 1.000,0.2079,0.08280,0.03276,0.03048,0.05005,0.03913,0.02866,0.1106,0.07734,0.09327,0.1096,0.09918,0.2006,0.1856
0.1315,0.1470,0.06824,0.1074,0.2079, 1.000,0.1183,0.03276,0.02457,0.05414,0.04914,0.03139,0.09099,0.08280,0.09463,0.09736,0.09327,0.1715,0.1583
0.1497,0.2075,0.06005,0.05460,0.08280,0.1183, 1.000,0.02684,0.02775,0.02320,0.03321,0.04504,0.05960,0.1110,0.1024,0.07552,0.04732,0.08644,0.07552
0.03412,0.02320,0.04277,0.02002,0.03276,0.03276,0.02684, 1.000,0.02457,0.03003,0.03685,0.02320,0.02502,0.02821,0.03367,0.02957,0.03003,0.02912,0.02548
0.02730,0.02639,0.02775,0.03367,0.03048,0.02457,0.02775,0.02457, 1.000,0.07871,0.02684,0.05687,0.01956,0.04095,0.02821,0.03867,0.06915,0.03594,0.05050
0.03003,0.02957,0.03776,0.04004,0.05005,0.05414,0.02320,0.03003,0.07871, 1.000,0.06597,0.04277,0.06051,0.03412,0.03776,0.03958,0.04686,0.08189,0.07507
0.03458,0.02730,0.03640,0.02730,0.03913,0.04914,0.03321,0.03685,0.02684,0.06597, 1.000,0.02502,0.03503,0.03503,0.04095,0.02821,0.01865,0.04959,0.04140
0.02593,0.03139,0.02138,0.04140,0.02866,0.03139,0.04504,0.02320,0.05687,0.04277,0.02502, 1.000,0.03321,0.05005,0.04595,0.02912,0.04504,0.03958,0.03685
0.07507,0.08144,0.04823,0.09327,0.1106,0.09099,0.05960,0.02502,0.01956,0.06051,0.03503,0.03321, 1.000,0.1356,0.05187,0.03230,0.04504,0.1729,0.08462
0.1110,0.1338,0.07825,0.08963,0.07734,0.08280,0.1110,0.02821,0.04095,0.03412,0.03503,0.05005,0.1356, 1.000,0.1288,0.05005,0.03139,0.1101,0.06688
0.1347,0.1456,0.1187,0.1024,0.09327,0.09463,0.1024,0.03367,0.02821,0.03776,0.04095,0.04595,0.05187,0.1288, 1.000,0.1365,0.04959,0.08690,0.08053
0.1456,0.1306,0.1106,0.09463,0.1096,0.09736,0.07552,0.02957,0.03867,0.03958,0.02821,0.02912,0.03230,0.05005,0.1365, 1.000,0.2166,0.08417,0.1474
0.07552,0.06642,0.07006,0.07279,0.09918,0.09327,0.04732,0.03003,0.06915,0.04686,0.01865,0.04504,0.04504,0.03139,0.04959,0.2166, 1.000,0.09918,0.1884
0.09645,0.09918,0.07370,0.1529,0.2006,0.1715,0.08644,0.02912,0.03594,0.08189,0.04959,0.03958,0.1729,0.1101,0.08690,0.08417,0.09918, 1.000,0.3790
0.1092,0.1028,0.07734,0.1447,0.1856,0.1583,0.07552,0.02548,0.05050,0.07507,0.04140,0.03685,0.08462,0.06688,0.08053,0.1474,0.1884,0.3790, 1.000
