Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.06432,0.04137,0.08016,0.04008,0.03846,0.04234,0.02456,0.02877,0.03167,0.03297,0.03070,0.05656,0.08242,0.08242,0.06109,0.03264,0.05430,0.05074
0.06432, 1.000,0.03878,0.1677,0.09470,0.06076,0.06044,0.02683,0.03846,0.05915,0.05979,0.03038,0.08306,0.1131,0.08274,0.1522,0.06981,0.1128,0.1073
0.04137,0.03878, 1.000,0.05915,0.02747,0.02392,0.02327,0.01842,0.02683,0.03200,0.02844,0.02683,0.03264,0.03103,0.04008,0.04493,0.04913,0.03200,0.03652
0.08016,0.1677,0.05915, 1.000,0.1322,0.1312,0.06303,0.03491,0.06820,0.09955,0.06529,0.02586,0.1403,0.1364,0.1044,0.09632,0.1151,0.1910,0.1965
0.04008,0.09470,0.02747,0.1322, 1.000,0.1222,0.05591,0.05462,0.07919,0.1286,0.09793,0.02101,0.1723,0.08985,0.05333,0.05624,0.09632,0.1807,0.1665
0.03846,0.06076,0.02392,0.1312,0.1222, 1.000,0.03717,0.07595,0.09955,0.1357,0.1280,0.02586,0.1639,0.06303,0.03782,0.03749,0.08888,0.1829,0.1665
0.04234,0.06044,0.02327,0.06303,0.05591,0.03717, 1.000,0.03717,0.02780,0.04266,0.04686,0.02909,0.05818,0.06884,0.03006,0.06723,0.04396,0.06367,0.04686
0.02456,0.02683,0.01842,0.03491,0.05462,0.07595,0.03717, 1.000,0.05495,0.05527,0.06367,0.03232,0.06529,0.03458,0.02521,0.02780,0.02327,0.06529,0.05107
0.02877,0.03846,0.02683,0.06820,0.07919,0.09955,0.02780,0.05495, 1.000,0.2023,0.06593,0.02618,0.07854,0.03814,0.03878,0.02780,0.07498,0.1151,0.1312
0.03167,0.05915,0.03200,0.09955,0.1286,0.1357,0.04266,0.05527,0.2023, 1.000,0.09632,0.02327,0.1261,0.05010,0.03297,0.04137,0.1131,0.2204,0.2085
0.03297,0.05979,0.02844,0.06529,0.09793,0.1280,0.04686,0.06367,0.06593,0.09632, 1.000,0.02327,0.1028,0.05688,0.03232,0.04557,0.06529,0.1422,0.1241
0.03070,0.03038,0.02683,0.02586,0.02101,0.02586,0.02909,0.03232,0.02618,0.02327,0.02327, 1.000,0.02586,0.02553,0.02359,0.02392,0.02521,0.02747,0.01939
0.05656,0.08306,0.03264,0.1403,0.1723,0.1639,0.05818,0.06529,0.07854,0.1261,0.1028,0.02586, 1.000,0.1312,0.03717,0.05301,0.07660,0.1891,0.1419
0.08242,0.1131,0.03103,0.1364,0.08985,0.06303,0.06884,0.03458,0.03814,0.05010,0.05688,0.02553,0.1312, 1.000,0.04072,0.05850,0.04072,0.1018,0.07434
0.08242,0.08274,0.04008,0.1044,0.05333,0.03782,0.03006,0.02521,0.03878,0.03297,0.03232,0.02359,0.03717,0.04072, 1.000,0.07240,0.06561,0.06076,0.05785
0.06109,0.1522,0.04493,0.09632,0.05624,0.03749,0.06723,0.02780,0.02780,0.04137,0.04557,0.02392,0.05301,0.05850,0.07240, 1.000,0.04719,0.05915,0.05947
0.03264,0.06981,0.04913,0.1151,0.09632,0.08888,0.04396,0.02327,0.07498,0.1131,0.06529,0.02521,0.07660,0.04072,0.06561,0.04719, 1.000,0.1067,0.1251
0.05430,0.1128,0.03200,0.1910,0.1807,0.1829,0.06367,0.06529,0.1151,0.2204,0.1422,0.02747,0.1891,0.1018,0.06076,0.05915,0.1067, 1.000,0.3009
0.05074,0.1073,0.03652,0.1965,0.1665,0.1665,0.04686,0.05107,0.1312,0.2085,0.1241,0.01939,0.1419,0.07434,0.05785,0.05947,0.1251,0.3009, 1.000
