Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1211,0.1598,0.2061,0.1796,0.05677,0.04221,0.02707,0.02271,0.02009,0.02067,0.01980,0.05502,0.05706,0.1735,0.2020,0.2259,0.2498,0.2090
0.1211, 1.000,0.04047,0.06114,0.1051,0.06667,0.1054,0.02183,0.03435,0.01863,0.02154,0.01863,0.07889,0.08443,0.1543,0.1127,0.07598,0.1429,0.1255
0.1598,0.04047, 1.000,0.1036,0.06870,0.03115,0.02504,0.03523,0.02271,0.02387,0.03319,0.03348,0.02358,0.02969,0.05677,0.08501,0.1042,0.06376,0.07016
0.2061,0.06114,0.1036, 1.000,0.05415,0.03173,0.02999,0.03348,0.02329,0.02445,0.01921,0.03057,0.03697,0.04163,0.06812,0.08705,0.1368,0.1007,0.1112
0.1796,0.1051,0.06870,0.05415, 1.000,0.05007,0.05124,0.02940,0.02154,0.02707,0.01689,0.02038,0.06346,0.07860,0.09491,0.07627,0.1595,0.2055,0.1942
0.05677,0.06667,0.03115,0.03173,0.05007, 1.000,0.05619,0.02795,0.02445,0.02678,0.02213,0.02358,0.08268,0.06143,0.04367,0.04512,0.04716,0.09112,0.07249
0.04221,0.1054,0.02504,0.02999,0.05124,0.05619, 1.000,0.03639,0.03843,0.01689,0.02737,0.03843,0.07307,0.06230,0.06143,0.04192,0.03464,0.06987,0.05997
0.02707,0.02183,0.03523,0.03348,0.02940,0.02795,0.03639, 1.000,0.02358,0.02475,0.03086,0.05211,0.03290,0.01921,0.02882,0.02999,0.02504,0.02183,0.02591
0.02271,0.03435,0.02271,0.02329,0.02154,0.02445,0.03843,0.02358, 1.000,0.02940,0.02475,0.02504,0.02969,0.02911,0.03261,0.02387,0.02125,0.02562,0.02562
0.02009,0.01863,0.02387,0.02445,0.02707,0.02678,0.01689,0.02475,0.02940, 1.000,0.03581,0.02300,0.02329,0.01951,0.01485,0.01980,0.02387,0.02242,0.02533
0.02067,0.02154,0.03319,0.01921,0.01689,0.02213,0.02737,0.03086,0.02475,0.03581, 1.000,0.02445,0.02766,0.02445,0.02213,0.02271,0.02300,0.01892,0.01805
0.01980,0.01863,0.03348,0.03057,0.02038,0.02358,0.03843,0.05211,0.02504,0.02300,0.02445, 1.000,0.03086,0.02649,0.02300,0.02445,0.02416,0.02154,0.02038
0.05502,0.07889,0.02358,0.03697,0.06346,0.08268,0.07307,0.03290,0.02969,0.02329,0.02766,0.03086, 1.000,0.06550,0.05793,0.03144,0.03464,0.1028,0.07627
0.05706,0.08443,0.02969,0.04163,0.07860,0.06143,0.06230,0.01921,0.02911,0.01951,0.02445,0.02649,0.06550, 1.000,0.05939,0.04629,0.04163,0.08501,0.07569
0.1735,0.1543,0.05677,0.06812,0.09491,0.04367,0.06143,0.02882,0.03261,0.01485,0.02213,0.02300,0.05793,0.05939, 1.000,0.07860,0.06987,0.1156,0.1054
0.2020,0.1127,0.08501,0.08705,0.07627,0.04512,0.04192,0.02999,0.02387,0.01980,0.02271,0.02445,0.03144,0.04629,0.07860, 1.000,0.1074,0.1007,0.1019
0.2259,0.07598,0.1042,0.1368,0.1595,0.04716,0.03464,0.02504,0.02125,0.02387,0.02300,0.02416,0.03464,0.04163,0.06987,0.1074, 1.000,0.09258,0.1336
0.2498,0.1429,0.06376,0.1007,0.2055,0.09112,0.06987,0.02183,0.02562,0.02242,0.01892,0.02154,0.1028,0.08501,0.1156,0.1007,0.09258, 1.000,0.2381
0.2090,0.1255,0.07016,0.1112,0.1942,0.07249,0.05997,0.02591,0.02562,0.02533,0.01805,0.02038,0.07627,0.07569,0.1054,0.1019,0.1336,0.2381, 1.000
