Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.7230,0.1700,0.1490,0.1368,0.1514,0.1517,0.04807,0.02497,0.02576,0.03878,0.02922,0.1240,0.2640,0.2834,0.2664,0.1347,0.07942,0.02576
0.7230, 1.000,0.1339,0.1206,0.1296,0.1724,0.2096,0.04170,0.02284,0.02470,0.03426,0.02576,0.1235,0.2741,0.2887,0.2664,0.1235,0.07331,0.02709
0.1700,0.1339, 1.000,0.1718,0.08845,0.04595,0.05976,0.1386,0.03320,0.02629,0.05206,0.04542,0.05525,0.1124,0.1572,0.2218,0.08287,0.03958,0.02603
0.1490,0.1206,0.1718, 1.000,0.2977,0.1116,0.04754,0.05179,0.08313,0.03772,0.02231,0.04781,0.1278,0.1418,0.1280,0.2412,0.1758,0.1564,0.02895
0.1368,0.1296,0.08845,0.2977, 1.000,0.1976,0.05392,0.03479,0.06428,0.04409,0.02603,0.03054,0.2475,0.1559,0.1161,0.1846,0.1684,0.2255,0.03718
0.1514,0.1724,0.04595,0.1116,0.1976, 1.000,0.09854,0.02683,0.02948,0.03718,0.03054,0.02390,0.2327,0.2239,0.1169,0.1301,0.1086,0.1939,0.04675
0.1517,0.2096,0.05976,0.04754,0.05392,0.09854, 1.000,0.02550,0.02364,0.02948,0.02576,0.02523,0.07995,0.1336,0.1134,0.08420,0.04754,0.04834,0.03851
0.04807,0.04170,0.1386,0.05179,0.03479,0.02683,0.02550, 1.000,0.02444,0.03718,0.1208,0.04382,0.02311,0.03453,0.06215,0.06985,0.03851,0.02523,0.07490
0.02497,0.02284,0.03320,0.08313,0.06428,0.02948,0.02364,0.02444, 1.000,0.1320,0.02603,0.05445,0.03320,0.02683,0.02151,0.04701,0.05923,0.07278,0.02045
0.02576,0.02470,0.02629,0.03772,0.04409,0.03718,0.02948,0.03718,0.1320, 1.000,0.04967,0.02842,0.04303,0.02683,0.02019,0.02683,0.03692,0.07118,0.03373
0.03878,0.03426,0.05206,0.02231,0.02603,0.03054,0.02576,0.1208,0.02603,0.04967, 1.000,0.03612,0.01992,0.01833,0.02869,0.03161,0.02629,0.02815,0.03825
0.02922,0.02576,0.04542,0.04781,0.03054,0.02390,0.02523,0.04382,0.05445,0.02842,0.03612, 1.000,0.02364,0.02098,0.02736,0.03692,0.05817,0.02709,0.02576
0.1240,0.1235,0.05525,0.1278,0.2475,0.2327,0.07995,0.02311,0.03320,0.04303,0.01992,0.02364, 1.000,0.2752,0.07703,0.08446,0.08181,0.3169,0.06853
0.2640,0.2741,0.1124,0.1418,0.1559,0.2239,0.1336,0.03453,0.02683,0.02683,0.01833,0.02098,0.2752, 1.000,0.2518,0.1487,0.06507,0.1145,0.03426
0.2834,0.2887,0.1572,0.1280,0.1161,0.1169,0.1134,0.06215,0.02151,0.02019,0.02869,0.02736,0.07703,0.2518, 1.000,0.2622,0.06507,0.05020,0.03267
0.2664,0.2664,0.2218,0.2412,0.1846,0.1301,0.08420,0.06985,0.04701,0.02683,0.03161,0.03692,0.08446,0.1487,0.2622, 1.000,0.2080,0.08818,0.03479
0.1347,0.1235,0.08287,0.1758,0.1684,0.1086,0.04754,0.03851,0.05923,0.03692,0.02629,0.05817,0.08181,0.06507,0.06507,0.2080, 1.000,0.1153,0.03267
0.07942,0.07331,0.03958,0.1564,0.2255,0.1939,0.04834,0.02523,0.07278,0.07118,0.02815,0.02709,0.3169,0.1145,0.05020,0.08818,0.1153, 1.000,0.06295
0.02576,0.02709,0.02603,0.02895,0.03718,0.04675,0.03851,0.07490,0.02045,0.03373,0.03825,0.02576,0.06853,0.03426,0.03267,0.03479,0.03267,0.06295, 1.000
