Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02887,0.02813,0.02813,0.02850,0.02850,0.03442,0.05551,0.02480,0.01813,0.03257,0.03072,0.02961,0.02665,0.03738,0.03997,0.02776,0.03405,0.02850
0.02887, 1.000,0.1432,0.1140,0.1347,0.1695,0.4371,0.02628,0.02443,0.03183,0.03775,0.09623,0.07994,0.1514,0.1303,0.05811,0.03109,0.1044,0.07809
0.02813,0.1432, 1.000,0.3901,0.1821,0.1081,0.08031,0.04441,0.02443,0.04034,0.03183,0.02665,0.05662,0.1014,0.1702,0.1258,0.05662,0.08216,0.1284
0.02813,0.1140,0.3901, 1.000,0.3031,0.1251,0.07069,0.04256,0.03257,0.07439,0.03738,0.02554,0.06366,0.06625,0.09808,0.1277,0.07920,0.1388,0.2376
0.02850,0.1347,0.1821,0.3031, 1.000,0.2354,0.1110,0.02887,0.02369,0.05736,0.03960,0.02961,0.08660,0.07809,0.06773,0.07883,0.05774,0.1458,0.1684
0.02850,0.1695,0.1081,0.1251,0.2354, 1.000,0.1358,0.02517,0.02961,0.04256,0.05107,0.03701,0.08068,0.08586,0.05959,0.05181,0.04367,0.1295,0.1018
0.03442,0.4371,0.08031,0.07069,0.1110,0.1358, 1.000,0.02073,0.03294,0.02924,0.05959,0.1399,0.1221,0.1950,0.07291,0.03479,0.02665,0.1047,0.05218
0.05551,0.02628,0.04441,0.04256,0.02887,0.02517,0.02073, 1.000,0.04404,0.02850,0.04737,0.01258,0.03109,0.01887,0.06181,0.09289,0.03516,0.03220,0.04552
0.02480,0.02443,0.02443,0.03257,0.02369,0.02961,0.03294,0.04404, 1.000,0.05181,0.02036,0.05699,0.01850,0.03146,0.01739,0.03479,0.06514,0.03109,0.03886
0.01813,0.03183,0.04034,0.07439,0.05736,0.04256,0.02924,0.02850,0.05181, 1.000,0.03220,0.03294,0.03405,0.02258,0.02295,0.03183,0.07513,0.05366,0.07661
0.03257,0.03775,0.03183,0.03738,0.03960,0.05107,0.05959,0.04737,0.02036,0.03220, 1.000,0.03775,0.1595,0.03886,0.02295,0.03257,0.02517,0.07476,0.03664
0.03072,0.09623,0.02665,0.02554,0.02961,0.03701,0.1399,0.01258,0.05699,0.03294,0.03775, 1.000,0.04663,0.07439,0.03442,0.02258,0.03590,0.02813,0.02332
0.02961,0.07994,0.05662,0.06366,0.08660,0.08068,0.1221,0.03109,0.01850,0.03405,0.1595,0.04663, 1.000,0.1155,0.03220,0.02517,0.02702,0.1403,0.05440
0.02665,0.1514,0.1014,0.06625,0.07809,0.08586,0.1950,0.01887,0.03146,0.02258,0.03886,0.07439,0.1155, 1.000,0.1088,0.03072,0.02850,0.06884,0.04034
0.03738,0.1303,0.1702,0.09808,0.06773,0.05959,0.07291,0.06181,0.01739,0.02295,0.02295,0.03442,0.03220,0.1088, 1.000,0.1310,0.03294,0.04478,0.05033
0.03997,0.05811,0.1258,0.1277,0.07883,0.05181,0.03479,0.09289,0.03479,0.03183,0.03257,0.02258,0.02517,0.03072,0.1310, 1.000,0.09548,0.04108,0.1140
0.02776,0.03109,0.05662,0.07920,0.05774,0.04367,0.02665,0.03516,0.06514,0.07513,0.02517,0.03590,0.02702,0.02850,0.03294,0.09548, 1.000,0.03738,0.2047
0.03405,0.1044,0.08216,0.1388,0.1458,0.1295,0.1047,0.03220,0.03109,0.05366,0.07476,0.02813,0.1403,0.06884,0.04478,0.04108,0.03738, 1.000,0.1373
0.02850,0.07809,0.1284,0.2376,0.1684,0.1018,0.05218,0.04552,0.03886,0.07661,0.03664,0.02332,0.05440,0.04034,0.05033,0.1140,0.2047,0.1373, 1.000
