Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.7739,0.1504,0.2496,0.3213,0.2716,0.2516,0.01742,0.03811,0.04846,0.02726,0.03786,0.2812,0.4152,0.2794,0.2322,0.09667,0.4228,0.1570
0.7739, 1.000,0.1519,0.2557,0.3195,0.2764,0.2443,0.01792,0.04064,0.04442,0.02852,0.03534,0.2473,0.3912,0.2880,0.2433,0.09642,0.3685,0.1464
0.1504,0.1519, 1.000,0.2405,0.09717,0.06133,0.04695,0.03029,0.04897,0.04013,0.05906,0.09162,0.05830,0.09061,0.1335,0.3766,0.2342,0.1550,0.07118
0.2496,0.2557,0.2405, 1.000,0.2925,0.1512,0.08405,0.01994,0.06638,0.07219,0.02852,0.05275,0.1620,0.1277,0.1219,0.2963,0.2991,0.4440,0.2055
0.3213,0.3195,0.09717,0.2925, 1.000,0.3882,0.1782,0.02044,0.04871,0.08001,0.01817,0.03306,0.3506,0.1779,0.1090,0.1479,0.1270,0.4372,0.3450
0.2716,0.2764,0.06133,0.1512,0.3882, 1.000,0.2789,0.02726,0.03559,0.06966,0.02095,0.02928,0.4891,0.1901,0.1095,0.08783,0.07219,0.2431,0.2635
0.2516,0.2443,0.04695,0.08405,0.1782,0.2789, 1.000,0.02852,0.03104,0.04038,0.02827,0.03004,0.3120,0.3334,0.1492,0.06890,0.04139,0.1424,0.1156
0.01742,0.01792,0.03029,0.01994,0.02044,0.02726,0.02852, 1.000,0.02726,0.03256,0.1456,0.04871,0.02095,0.02574,0.03635,0.01817,0.02776,0.01893,0.03004
0.03811,0.04064,0.04897,0.06638,0.04871,0.03559,0.03104,0.02726, 1.000,0.07370,0.02852,0.1577,0.03534,0.03534,0.03508,0.03862,0.1065,0.05174,0.05300
0.04846,0.04442,0.04013,0.07219,0.08001,0.06966,0.04038,0.03256,0.07370, 1.000,0.02171,0.02928,0.07824,0.04316,0.03407,0.03584,0.07622,0.06588,0.1567
0.02726,0.02852,0.05906,0.02852,0.01817,0.02095,0.02827,0.1456,0.02852,0.02171, 1.000,0.07244,0.01514,0.02827,0.03887,0.03735,0.03710,0.02171,0.01943
0.03786,0.03534,0.09162,0.05275,0.03306,0.02928,0.03004,0.04871,0.1577,0.02928,0.07244, 1.000,0.02549,0.03180,0.04089,0.05805,0.1224,0.03912,0.03029
0.2812,0.2473,0.05830,0.1620,0.3506,0.4891,0.3120,0.02095,0.03534,0.07824,0.01514,0.02549, 1.000,0.1974,0.1037,0.08405,0.06815,0.2797,0.3079
0.4152,0.3912,0.09061,0.1277,0.1779,0.1901,0.3334,0.02574,0.03534,0.04316,0.02827,0.03180,0.1974, 1.000,0.3652,0.1499,0.06032,0.2176,0.09515
0.2794,0.2880,0.1335,0.1219,0.1090,0.1095,0.1492,0.03635,0.03508,0.03407,0.03887,0.04089,0.1037,0.3652, 1.000,0.2176,0.07345,0.1540,0.05553
0.2322,0.2433,0.3766,0.2963,0.1479,0.08783,0.06890,0.01817,0.03862,0.03584,0.03735,0.05805,0.08405,0.1499,0.2176, 1.000,0.1911,0.2405,0.07925
0.09667,0.09642,0.2342,0.2991,0.1270,0.07219,0.04139,0.02776,0.1065,0.07622,0.03710,0.1224,0.06815,0.06032,0.07345,0.1911, 1.000,0.1742,0.1275
0.4228,0.3685,0.1550,0.4440,0.4372,0.2431,0.1424,0.01893,0.05174,0.06588,0.02171,0.03912,0.2797,0.2176,0.1540,0.2405,0.1742, 1.000,0.2496
0.1570,0.1464,0.07118,0.2055,0.3450,0.2635,0.1156,0.03004,0.05300,0.1567,0.01943,0.03029,0.3079,0.09515,0.05553,0.07925,0.1275,0.2496, 1.000
