Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.6782,0.6163,0.5497,0.4264,0.5088,0.5909,0.02121,0.03681,0.06582,0.04364,0.04047,0.4449,0.4473,0.2428,0.5549,0.4430,0.3620,0.3988
0.6782, 1.000,0.6285,0.5134,0.4247,0.5080,0.6692,0.02413,0.03437,0.06412,0.04120,0.03803,0.4152,0.4839,0.2538,0.6070,0.4147,0.3393,0.3857
0.6163,0.6285, 1.000,0.4352,0.3101,0.3998,0.7718,0.02657,0.03315,0.05217,0.03535,0.03779,0.3333,0.5490,0.3518,0.6689,0.3450,0.2438,0.2945
0.5497,0.5134,0.4352, 1.000,0.4464,0.4196,0.3920,0.02682,0.03486,0.07947,0.04608,0.05095,0.4059,0.3398,0.1789,0.4274,0.4671,0.3676,0.4283
0.4264,0.4247,0.3101,0.4464, 1.000,0.3979,0.3213,0.03120,0.03559,0.08289,0.04973,0.05339,0.4737,0.2652,0.1373,0.2969,0.4154,0.4371,0.4447
0.5088,0.5080,0.3998,0.4196,0.3979, 1.000,0.4256,0.02365,0.03462,0.06607,0.03876,0.04486,0.4100,0.3701,0.1902,0.4205,0.3791,0.3306,0.3710
0.5909,0.6692,0.7718,0.3920,0.3213,0.4256, 1.000,0.02365,0.03389,0.05339,0.03510,0.03535,0.3552,0.5570,0.3413,0.6514,0.3296,0.2457,0.2796
0.02121,0.02413,0.02657,0.02682,0.03120,0.02365,0.02365, 1.000,0.04949,0.06387,0.06826,0.06997,0.02730,0.02511,0.03389,0.02316,0.02730,0.02950,0.02779
0.03681,0.03437,0.03315,0.03486,0.03559,0.03462,0.03389,0.04949, 1.000,0.04876,0.03510,0.08606,0.03364,0.04047,0.03559,0.03267,0.03437,0.04705,0.04096
0.06582,0.06412,0.05217,0.07947,0.08289,0.06607,0.05339,0.06387,0.04876, 1.000,0.07435,0.1151,0.08898,0.05071,0.03559,0.05022,0.08898,0.1136,0.1053
0.04364,0.04120,0.03535,0.04608,0.04973,0.03876,0.03510,0.06826,0.03510,0.07435, 1.000,0.04461,0.04437,0.04291,0.03340,0.03584,0.04705,0.05729,0.04900
0.04047,0.03803,0.03779,0.05095,0.05339,0.04486,0.03535,0.06997,0.08606,0.1151,0.04461, 1.000,0.04193,0.03657,0.04778,0.03803,0.04973,0.06460,0.05948
0.4449,0.4152,0.3333,0.4059,0.4737,0.4100,0.3552,0.02730,0.03364,0.08898,0.04437,0.04193, 1.000,0.2755,0.1472,0.3262,0.3925,0.3510,0.4061
0.4473,0.4839,0.5490,0.3398,0.2652,0.3701,0.5570,0.02511,0.04047,0.05071,0.04291,0.03657,0.2755, 1.000,0.3537,0.4710,0.2528,0.1955,0.2184
0.2428,0.2538,0.3518,0.1789,0.1373,0.1902,0.3413,0.03389,0.03559,0.03559,0.03340,0.04778,0.1472,0.3537, 1.000,0.3457,0.1312,0.09654,0.1175
0.5549,0.6070,0.6689,0.4274,0.2969,0.4205,0.6514,0.02316,0.03267,0.05022,0.03584,0.03803,0.3262,0.4710,0.3457, 1.000,0.3062,0.2279,0.2594
0.4430,0.4147,0.3450,0.4671,0.4154,0.3791,0.3296,0.02730,0.03437,0.08898,0.04705,0.04973,0.3925,0.2528,0.1312,0.3062, 1.000,0.4408,0.4673
0.3620,0.3393,0.2438,0.3676,0.4371,0.3306,0.2457,0.02950,0.04705,0.1136,0.05729,0.06460,0.3510,0.1955,0.09654,0.2279,0.4408, 1.000,0.6338
0.3988,0.3857,0.2945,0.4283,0.4447,0.3710,0.2796,0.02779,0.04096,0.1053,0.04900,0.05948,0.4061,0.2184,0.1175,0.2594,0.4673,0.6338, 1.000
