Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02178,0.02781,0.02278,0.02848,0.03283,0.02580,0.02680,0.01977,0.02647,0.01910,0.04992,0.04489,0.02814,0.01910,0.01575,0.02345,0.03987,0.02278
0.02178, 1.000,0.02245,0.02982,0.05293,0.04288,0.07806,0.02546,0.02178,0.03484,0.02010,0.02513,0.06633,0.1035,0.04154,0.06164,0.05963,0.07002,0.07873
0.02781,0.02245, 1.000,0.04556,0.03250,0.02144,0.02312,0.06801,0.02312,0.01809,0.03819,0.01843,0.02278,0.02915,0.04556,0.04623,0.04255,0.02747,0.02814
0.02278,0.02982,0.04556, 1.000,0.03719,0.02647,0.02881,0.02513,0.01776,0.02546,0.02245,0.01977,0.03518,0.04322,0.04020,0.04623,0.05293,0.04757,0.04891
0.02848,0.05293,0.03250,0.03719, 1.000,0.02881,0.02982,0.02580,0.01742,0.02714,0.02479,0.02312,0.05360,0.06399,0.02580,0.02580,0.04690,0.04623,0.04992
0.03283,0.04288,0.02144,0.02647,0.02881, 1.000,0.05494,0.05762,0.01843,0.02379,0.02580,0.02412,0.07069,0.03317,0.03283,0.03116,0.03216,0.04054,0.04523
0.02580,0.07806,0.02312,0.02881,0.02982,0.05494, 1.000,0.06901,0.02144,0.02312,0.02312,0.02178,0.06801,0.04188,0.02379,0.02747,0.02546,0.06834,0.03049
0.02680,0.02546,0.06801,0.02513,0.02580,0.05762,0.06901, 1.000,0.01843,0.02546,0.03317,0.02613,0.05193,0.02379,0.02479,0.02446,0.01910,0.03116,0.02245
0.01977,0.02178,0.02312,0.01776,0.01742,0.01843,0.02144,0.01843, 1.000,0.02144,0.02044,0.02915,0.02446,0.02848,0.01977,0.02680,0.01776,0.02647,0.02680
0.02647,0.03484,0.01809,0.02546,0.02714,0.02379,0.02312,0.02546,0.02144, 1.000,0.01910,0.02613,0.03049,0.02781,0.02312,0.01977,0.02814,0.03384,0.03652
0.01910,0.02010,0.03819,0.02245,0.02479,0.02580,0.02312,0.03317,0.02044,0.01910, 1.000,0.02647,0.03350,0.02412,0.02077,0.01876,0.01675,0.02546,0.02245
0.04992,0.02513,0.01843,0.01977,0.02312,0.02412,0.02178,0.02613,0.02915,0.02613,0.02647, 1.000,0.03987,0.03015,0.02412,0.01977,0.02546,0.02345,0.02546
0.04489,0.06633,0.02278,0.03518,0.05360,0.07069,0.06801,0.05193,0.02446,0.03049,0.03350,0.03987, 1.000,0.1330,0.03183,0.02613,0.02010,0.04456,0.03451
0.02814,0.1035,0.02915,0.04322,0.06399,0.03317,0.04188,0.02379,0.02848,0.02781,0.02412,0.03015,0.1330, 1.000,0.02982,0.04456,0.02948,0.04422,0.05896
0.01910,0.04154,0.04556,0.04020,0.02580,0.03283,0.02379,0.02479,0.01977,0.02312,0.02077,0.02412,0.03183,0.02982, 1.000,0.04288,0.02412,0.04824,0.03719
0.01575,0.06164,0.04623,0.04623,0.02580,0.03116,0.02747,0.02446,0.02680,0.01977,0.01876,0.01977,0.02613,0.04456,0.04288, 1.000,0.06600,0.03585,0.02848
0.02345,0.05963,0.04255,0.05293,0.04690,0.03216,0.02546,0.01910,0.01776,0.02814,0.01675,0.02546,0.02010,0.02948,0.02412,0.06600, 1.000,0.02948,0.04657
0.03987,0.07002,0.02747,0.04757,0.04623,0.04054,0.06834,0.03116,0.02647,0.03384,0.02546,0.02345,0.04456,0.04422,0.04824,0.03585,0.02948, 1.000,0.06734
0.02278,0.07873,0.02814,0.04891,0.04992,0.04523,0.03049,0.02245,0.02680,0.03652,0.02245,0.02546,0.03451,0.05896,0.03719,0.02848,0.04657,0.06734, 1.000
