Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.01478,0.02135,0.1396,0.2217,0.1461,0.09031,0.04598,0.1609,0.5156,0.4122,0.03448,0.09195,0.03777,0.04598,0.01806,0.1987,0.2069,0.1396
0.01478, 1.000,0.03941,0.06404,0.09031,0.1708,0.1872,0.03941,0.03284,0.02135,0.05090,0.1018,0.07718,0.1363,0.1330,0.08539,0.04105,0.07553,0.07061
0.02135,0.03941, 1.000,0.08210,0.04105,0.02463,0.03612,0.3169,0.04433,0.03120,0.02791,0.08046,0.02135,0.03612,0.04269,0.1691,0.06240,0.03941,0.03777
0.1396,0.06404,0.08210, 1.000,0.3103,0.1626,0.07389,0.03284,0.2709,0.2299,0.09195,0.04762,0.1149,0.02299,0.03120,0.1297,0.4893,0.3317,0.3317
0.2217,0.09031,0.04105,0.3103, 1.000,0.5353,0.2479,0.03777,0.1708,0.3711,0.2824,0.04105,0.2365,0.03448,0.03120,0.06240,0.2972,0.4943,0.3120
0.1461,0.1708,0.02463,0.1626,0.5353, 1.000,0.4893,0.05911,0.08374,0.2020,0.2989,0.05911,0.2151,0.05583,0.01970,0.06076,0.1593,0.3842,0.2578
0.09031,0.1872,0.03612,0.07389,0.2479,0.4893, 1.000,0.1182,0.03941,0.1051,0.3103,0.07553,0.1987,0.06404,0.01642,0.04598,0.07389,0.1658,0.1117
0.04598,0.03941,0.3169,0.03284,0.03777,0.05911,0.1182, 1.000,0.01970,0.04105,0.1051,0.07225,0.04762,0.03120,0.02627,0.1100,0.03941,0.03120,0.03448
0.1609,0.03284,0.04433,0.2709,0.1708,0.08374,0.03941,0.01970, 1.000,0.3120,0.06897,0.1248,0.09524,0.06897,0.05419,0.05583,0.2611,0.1675,0.1675
0.5156,0.02135,0.03120,0.2299,0.3711,0.2020,0.1051,0.04105,0.3120, 1.000,0.2726,0.05255,0.1199,0.05747,0.03448,0.02627,0.3563,0.3383,0.2447
0.4122,0.05090,0.02791,0.09195,0.2824,0.2989,0.3103,0.1051,0.06897,0.2726, 1.000,0.05583,0.1642,0.04926,0.03612,0.02956,0.1281,0.1921,0.1215
0.03448,0.1018,0.08046,0.04762,0.04105,0.05911,0.07553,0.07225,0.1248,0.05255,0.05583, 1.000,0.02956,0.1576,0.07061,0.03777,0.05255,0.03941,0.05090
0.09195,0.07718,0.02135,0.1149,0.2365,0.2151,0.1987,0.04762,0.09524,0.1199,0.1642,0.02956, 1.000,0.04598,0.02463,0.02135,0.06404,0.08703,0.07225
0.03777,0.1363,0.03612,0.02299,0.03448,0.05583,0.06404,0.03120,0.06897,0.05747,0.04926,0.1576,0.04598, 1.000,0.2496,0.05090,0.02956,0.03612,0.03284
0.04598,0.1330,0.04269,0.03120,0.03120,0.01970,0.01642,0.02627,0.05419,0.03448,0.03612,0.07061,0.02463,0.2496, 1.000,0.1084,0.02791,0.02463,0.01806
0.01806,0.08539,0.1691,0.1297,0.06240,0.06076,0.04598,0.1100,0.05583,0.02627,0.02956,0.03777,0.02135,0.05090,0.1084, 1.000,0.09524,0.07389,0.09688
0.1987,0.04105,0.06240,0.4893,0.2972,0.1593,0.07389,0.03941,0.2611,0.3563,0.1281,0.05255,0.06404,0.02956,0.02791,0.09524, 1.000,0.4926,0.5008
0.2069,0.07553,0.03941,0.3317,0.4943,0.3842,0.1658,0.03120,0.1675,0.3383,0.1921,0.03941,0.08703,0.03612,0.02463,0.07389,0.4926, 1.000,0.6190
0.1396,0.07061,0.03777,0.3317,0.3120,0.2578,0.1117,0.03448,0.1675,0.2447,0.1215,0.05090,0.07225,0.03284,0.01806,0.09688,0.5008,0.6190, 1.000
