Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2318,0.1231,0.1908,0.05436,0.09436,0.1682,0.03692,0.04615,0.06667,0.02359,0.05026,0.03692,0.07077,0.09641,0.04513,0.07179,0.1559,0.06564
0.2318, 1.000,0.04821,0.05744,0.1015,0.07795,0.5292,0.02872,0.02564,0.05744,0.04410,0.07282,0.02051,0.1538,0.1077,0.04000,0.03897,0.09744,0.06359
0.1231,0.04821, 1.000,0.1538,0.02974,0.04513,0.05128,0.1949,0.1097,0.04821,0.01436,0.04410,0.05538,0.02769,0.06359,0.07385,0.06462,0.04923,0.03077
0.1908,0.05744,0.1538, 1.000,0.04308,0.1149,0.05949,0.07897,0.1744,0.09436,0.03487,0.03385,0.1015,0.02769,0.09436,0.06051,0.1733,0.1733,0.08103
0.05436,0.1015,0.02974,0.04308, 1.000,0.09231,0.1077,0.04103,0.06974,0.02154,0.04205,0.04615,0.05949,0.05026,0.07487,0.04000,0.04308,0.05333,0.05026
0.09436,0.07795,0.04513,0.1149,0.09231, 1.000,0.08615,0.02256,0.07179,0.07692,0.05333,0.04308,0.1015,0.02667,0.05744,0.01846,0.03897,0.2728,0.1928
0.1682,0.5292,0.05128,0.05949,0.1077,0.08615, 1.000,0.04000,0.02256,0.05128,0.05846,0.08513,0.02667,0.2338,0.1282,0.05128,0.03487,0.09949,0.05436
0.03692,0.02872,0.1949,0.07897,0.04103,0.02256,0.04000, 1.000,0.1138,0.02564,0.06667,0.07487,0.07077,0.03179,0.04718,0.08205,0.03795,0.02667,0.02462
0.04615,0.02564,0.1097,0.1744,0.06974,0.07179,0.02256,0.1138, 1.000,0.07487,0.01333,0.04513,0.1097,0.01744,0.05128,0.04923,0.1200,0.06462,0.03692
0.06667,0.05744,0.04821,0.09436,0.02154,0.07692,0.05128,0.02564,0.07487, 1.000,0.06564,0.05333,0.04615,0.03179,0.05436,0.03795,0.06051,0.1179,0.1210
0.02359,0.04410,0.01436,0.03487,0.04205,0.05333,0.05846,0.06667,0.01333,0.06564, 1.000,0.07590,0.04103,0.07692,0.04103,0.04410,0.05436,0.07590,0.07590
0.05026,0.07282,0.04410,0.03385,0.04615,0.04308,0.08513,0.07487,0.04513,0.05333,0.07590, 1.000,0.08615,0.1282,0.06564,0.03692,0.04103,0.02359,0.03692
0.03692,0.02051,0.05538,0.1015,0.05949,0.1015,0.02667,0.07077,0.1097,0.04615,0.04103,0.08615, 1.000,0.04000,0.05744,0.02564,0.05333,0.06564,0.05949
0.07077,0.1538,0.02769,0.02769,0.05026,0.02667,0.2338,0.03179,0.01744,0.03179,0.07692,0.1282,0.04000, 1.000,0.08000,0.02359,0.05128,0.03077,0.01333
0.09641,0.1077,0.06359,0.09436,0.07487,0.05744,0.1282,0.04718,0.05128,0.05436,0.04103,0.06564,0.05744,0.08000, 1.000,0.04000,0.03897,0.04000,0.03897
0.04513,0.04000,0.07385,0.06051,0.04000,0.01846,0.05128,0.08205,0.04923,0.03795,0.04410,0.03692,0.02564,0.02359,0.04000, 1.000,0.03487,0.04103,0.02769
0.07179,0.03897,0.06462,0.1733,0.04308,0.03897,0.03487,0.03795,0.1200,0.06051,0.05436,0.04103,0.05333,0.05128,0.03897,0.03487, 1.000,0.1087,0.04410
0.1559,0.09744,0.04923,0.1733,0.05333,0.2728,0.09949,0.02667,0.06462,0.1179,0.07590,0.02359,0.06564,0.03077,0.04000,0.04103,0.1087, 1.000,0.2903
0.06564,0.06359,0.03077,0.08103,0.05026,0.1928,0.05436,0.02462,0.03692,0.1210,0.07590,0.03692,0.05949,0.01333,0.03897,0.02769,0.04410,0.2903, 1.000
