Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.6894,0.2640,0.5149,0.2957,0.3205,0.3186,0.05093,0.05217,0.03913,0.02422,0.05217,0.04907,0.1093,0.1839,0.1857,0.09503,0.1342,0.1571
0.6894, 1.000,0.2068,0.4565,0.3255,0.4019,0.4217,0.04472,0.05031,0.04472,0.02795,0.05093,0.05404,0.1286,0.2236,0.1571,0.08012,0.1497,0.1410
0.2640,0.2068, 1.000,0.1783,0.1031,0.1161,0.1820,0.1335,0.06273,0.02981,0.02547,0.04348,0.04596,0.06708,0.1839,0.2025,0.06087,0.07702,0.1230
0.5149,0.4565,0.1783, 1.000,0.4472,0.3124,0.1882,0.04783,0.06957,0.05280,0.03230,0.04783,0.05590,0.09379,0.1174,0.1646,0.1230,0.1379,0.2217
0.2957,0.3255,0.1031,0.4472, 1.000,0.4882,0.1516,0.04037,0.04845,0.06025,0.05342,0.05528,0.07081,0.08758,0.09441,0.09379,0.09689,0.1422,0.1652
0.3205,0.4019,0.1161,0.3124,0.4882, 1.000,0.2540,0.03354,0.04161,0.05342,0.04410,0.05528,0.07267,0.1255,0.1453,0.08509,0.07019,0.1795,0.1261
0.3186,0.4217,0.1820,0.1882,0.1516,0.2540, 1.000,0.03913,0.03789,0.03602,0.02919,0.06273,0.04783,0.1727,0.3826,0.1236,0.04969,0.1255,0.09441
0.05093,0.04472,0.1335,0.04783,0.04037,0.03354,0.03913, 1.000,0.05155,0.03789,0.06957,0.02733,0.04845,0.04348,0.05528,0.1478,0.06335,0.03230,0.06335
0.05217,0.05031,0.06273,0.06957,0.04845,0.04161,0.03789,0.05155, 1.000,0.06087,0.03168,0.05839,0.02795,0.04037,0.03416,0.07453,0.1950,0.04783,0.1168
0.03913,0.04472,0.02981,0.05280,0.06025,0.05342,0.03602,0.03789,0.06087, 1.000,0.07143,0.02795,0.05155,0.04969,0.05155,0.03230,0.04286,0.05031,0.05155
0.02422,0.02795,0.02547,0.03230,0.05342,0.04410,0.02919,0.06957,0.03168,0.07143, 1.000,0.03913,0.09006,0.03602,0.02671,0.03665,0.04099,0.04348,0.04348
0.05217,0.05093,0.04348,0.04783,0.05528,0.05528,0.06273,0.02733,0.05839,0.02795,0.03913, 1.000,0.04783,0.1236,0.05652,0.04472,0.07019,0.05839,0.05466
0.04907,0.05404,0.04596,0.05590,0.07081,0.07267,0.04783,0.04845,0.02795,0.05155,0.09006,0.04783, 1.000,0.1012,0.03665,0.02981,0.03727,0.1503,0.03727
0.1093,0.1286,0.06708,0.09379,0.08758,0.1255,0.1727,0.04348,0.04037,0.04969,0.03602,0.1236,0.1012, 1.000,0.1193,0.05155,0.03478,0.1640,0.04348
0.1839,0.2236,0.1839,0.1174,0.09441,0.1453,0.3826,0.05528,0.03416,0.05155,0.02671,0.05652,0.03665,0.1193, 1.000,0.1242,0.03665,0.07950,0.07516
0.1857,0.1571,0.2025,0.1646,0.09379,0.08509,0.1236,0.1478,0.07453,0.03230,0.03665,0.04472,0.02981,0.05155,0.1242, 1.000,0.1484,0.05466,0.2081
0.09503,0.08012,0.06087,0.1230,0.09689,0.07019,0.04969,0.06335,0.1950,0.04286,0.04099,0.07019,0.03727,0.03478,0.03665,0.1484, 1.000,0.04720,0.2435
0.1342,0.1497,0.07702,0.1379,0.1422,0.1795,0.1255,0.03230,0.04783,0.05031,0.04348,0.05839,0.1503,0.1640,0.07950,0.05466,0.04720, 1.000,0.07950
0.1571,0.1410,0.1230,0.2217,0.1652,0.1261,0.09441,0.06335,0.1168,0.05155,0.04348,0.05466,0.03727,0.04348,0.07516,0.2081,0.2435,0.07950, 1.000
