Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2610,0.1230,0.3763,0.1572,0.08358,0.07548,0.02651,0.03976,0.03424,0.03277,0.03792,0.05449,0.08358,0.07474,0.1591,0.1274,0.09242,0.1024
0.2610, 1.000,0.05596,0.1546,0.2106,0.2504,0.1057,0.03351,0.02320,0.05155,0.02467,0.02946,0.09278,0.1197,0.07216,0.09168,0.07401,0.1141,0.07695
0.1230,0.05596, 1.000,0.09315,0.03387,0.03608,0.04197,0.09867,0.03571,0.03314,0.04529,0.03792,0.03387,0.04345,0.08542,0.1510,0.06480,0.04676,0.04823
0.3763,0.1546,0.09315, 1.000,0.2224,0.09278,0.04455,0.02467,0.05781,0.04345,0.03130,0.05339,0.06701,0.05523,0.05191,0.1414,0.1856,0.09978,0.1491
0.1572,0.2106,0.03387,0.2224, 1.000,0.2541,0.05302,0.03387,0.04161,0.1079,0.03645,0.03571,0.1197,0.05781,0.04308,0.05707,0.1211,0.1307,0.09904
0.08358,0.2504,0.03608,0.09278,0.2541, 1.000,0.1068,0.03903,0.02688,0.06222,0.03866,0.02835,0.1649,0.09720,0.03756,0.04971,0.07069,0.1532,0.08137
0.07548,0.1057,0.04197,0.04455,0.05302,0.1068, 1.000,0.04087,0.03571,0.03608,0.03351,0.05449,0.04639,0.1193,0.05928,0.05449,0.03351,0.07511,0.05302
0.02651,0.03351,0.09867,0.02467,0.03387,0.03903,0.04087, 1.000,0.03203,0.03645,0.07437,0.03535,0.04676,0.02614,0.03940,0.04566,0.02356,0.02099,0.02577
0.03976,0.02320,0.03571,0.05781,0.04161,0.02688,0.03571,0.03203, 1.000,0.03719,0.03682,0.08247,0.02872,0.03498,0.02872,0.04602,0.1042,0.03535,0.04676
0.03424,0.05155,0.03314,0.04345,0.1079,0.06222,0.03608,0.03645,0.03719, 1.000,0.05670,0.03424,0.05560,0.03056,0.05302,0.02798,0.06406,0.04602,0.05302
0.03277,0.02467,0.04529,0.03130,0.03645,0.03866,0.03351,0.07437,0.03682,0.05670, 1.000,0.02982,0.05191,0.03130,0.03056,0.04566,0.03130,0.03351,0.03056
0.03792,0.02946,0.03792,0.05339,0.03571,0.02835,0.05449,0.03535,0.08247,0.03424,0.02982, 1.000,0.03903,0.04271,0.03277,0.03719,0.06591,0.03130,0.03130
0.05449,0.09278,0.03387,0.06701,0.1197,0.1649,0.04639,0.04676,0.02872,0.05560,0.05191,0.03903, 1.000,0.08247,0.02798,0.03351,0.04271,0.1605,0.05007
0.08358,0.1197,0.04345,0.05523,0.05781,0.09720,0.1193,0.02614,0.03498,0.03056,0.03130,0.04271,0.08247, 1.000,0.08837,0.04345,0.03682,0.08910,0.04050
0.07474,0.07216,0.08542,0.05191,0.04308,0.03756,0.05928,0.03940,0.02872,0.05302,0.03056,0.03277,0.02798,0.08837, 1.000,0.1038,0.03682,0.03498,0.03756
0.1591,0.09168,0.1510,0.1414,0.05707,0.04971,0.05449,0.04566,0.04602,0.02798,0.04566,0.03719,0.03351,0.04345,0.1038, 1.000,0.1090,0.04124,0.1009
0.1274,0.07401,0.06480,0.1856,0.1211,0.07069,0.03351,0.02356,0.1042,0.06406,0.03130,0.06591,0.04271,0.03682,0.03682,0.1090, 1.000,0.06259,0.1661
0.09242,0.1141,0.04676,0.09978,0.1307,0.1532,0.07511,0.02099,0.03535,0.04602,0.03351,0.03130,0.1605,0.08910,0.03498,0.04124,0.06259, 1.000,0.1440
0.1024,0.07695,0.04823,0.1491,0.09904,0.08137,0.05302,0.02577,0.04676,0.05302,0.03056,0.03130,0.05007,0.04050,0.03756,0.1009,0.1661,0.1440, 1.000
