Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1862,0.2692,0.1523,0.08220,0.07006,0.05424,0.03220,0.03588,0.02627,0.03927,0.02768,0.04661,0.07910,0.1319,0.08898,0.04209,0.07571,0.06215
0.1862, 1.000,0.06554,0.04605,0.08729,0.2000,0.1867,0.03672,0.05508,0.03333,0.02910,0.03107,0.06384,0.1096,0.08588,0.05763,0.03814,0.07006,0.04576
0.2692,0.06554, 1.000,0.1099,0.03588,0.03333,0.03418,0.04859,0.02881,0.03898,0.07599,0.03023,0.02740,0.03249,0.08898,0.1119,0.04689,0.03475,0.04209
0.1523,0.04605,0.1099, 1.000,0.1254,0.03757,0.03220,0.03418,0.03305,0.02373,0.03672,0.05254,0.03475,0.03842,0.04576,0.06243,0.06412,0.06780,0.07712
0.08220,0.08729,0.03588,0.1254, 1.000,0.1653,0.03390,0.04209,0.04379,0.03531,0.03333,0.03475,0.06723,0.06158,0.04463,0.04435,0.05141,0.1124,0.09153
0.07006,0.2000,0.03333,0.03757,0.1653, 1.000,0.08757,0.05198,0.05141,0.02768,0.03249,0.02825,0.1045,0.09153,0.05056,0.03898,0.03503,0.1034,0.05452
0.05424,0.1867,0.03418,0.03220,0.03390,0.08757, 1.000,0.03559,0.07203,0.03107,0.02910,0.07175,0.07627,0.1045,0.05763,0.02684,0.02910,0.05113,0.02712
0.03220,0.03672,0.04859,0.03418,0.04209,0.05198,0.03559, 1.000,0.2113,0.03220,0.08249,0.04915,0.07627,0.05198,0.02768,0.04379,0.03814,0.03559,0.02458
0.03588,0.05508,0.02881,0.03305,0.04379,0.05141,0.07203,0.2113, 1.000,0.03220,0.04379,0.06554,0.06271,0.07260,0.02627,0.02429,0.03955,0.03164,0.03136
0.02627,0.03333,0.03898,0.02373,0.03531,0.02768,0.03107,0.03220,0.03220, 1.000,0.06102,0.02232,0.04096,0.02768,0.03785,0.03164,0.02712,0.04237,0.04209
0.03927,0.02910,0.07599,0.03672,0.03333,0.03249,0.02910,0.08249,0.04379,0.06102, 1.000,0.06949,0.06158,0.03588,0.03164,0.05678,0.03927,0.03249,0.02514
0.02768,0.03107,0.03023,0.05254,0.03475,0.02825,0.07175,0.04915,0.06554,0.02232,0.06949, 1.000,0.04096,0.04831,0.02345,0.03672,0.08983,0.02712,0.03390
0.04661,0.06384,0.02740,0.03475,0.06723,0.1045,0.07627,0.07627,0.06271,0.04096,0.06158,0.04096, 1.000,0.1918,0.02486,0.03164,0.02797,0.1898,0.04859
0.07910,0.1096,0.03249,0.03842,0.06158,0.09153,0.1045,0.05198,0.07260,0.02768,0.03588,0.04831,0.1918, 1.000,0.06158,0.02514,0.02938,0.1316,0.03023
0.1319,0.08588,0.08898,0.04576,0.04463,0.05056,0.05763,0.02768,0.02627,0.03785,0.03164,0.02345,0.02486,0.06158, 1.000,0.07853,0.02542,0.05932,0.03672
0.08898,0.05763,0.1119,0.06243,0.04435,0.03898,0.02684,0.04379,0.02429,0.03164,0.05678,0.03672,0.03164,0.02514,0.07853, 1.000,0.08136,0.04181,0.09181
0.04209,0.03814,0.04689,0.06412,0.05141,0.03503,0.02910,0.03814,0.03955,0.02712,0.03927,0.08983,0.02797,0.02938,0.02542,0.08136, 1.000,0.03644,0.1766
0.07571,0.07006,0.03475,0.06780,0.1124,0.1034,0.05113,0.03559,0.03164,0.04237,0.03249,0.02712,0.1898,0.1316,0.05932,0.04181,0.03644, 1.000,0.1192
0.06215,0.04576,0.04209,0.07712,0.09153,0.05452,0.02712,0.02458,0.03136,0.04209,0.02514,0.03390,0.04859,0.03023,0.03672,0.09181,0.1766,0.1192, 1.000
