Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1597,0.1273,0.1414,0.07430,0.06121,0.05401,0.02029,0.01571,0.03437,0.02848,0.02226,0.05008,0.08478,0.1614,0.1669,0.07660,0.09296,0.1185
0.1597, 1.000,0.04452,0.03273,0.04877,0.1414,0.1948,0.04288,0.03077,0.03470,0.02553,0.02226,0.05957,0.1538,0.1290,0.07954,0.03372,0.1097,0.05794
0.1273,0.04452, 1.000,0.05434,0.03011,0.02160,0.01800,0.07987,0.03241,0.02488,0.07430,0.03601,0.02422,0.03470,0.07660,0.1028,0.04517,0.02586,0.04517
0.1414,0.03273,0.05434, 1.000,0.3002,0.03928,0.01866,0.02455,0.02488,0.02619,0.03502,0.03077,0.03797,0.02717,0.03601,0.08052,0.1159,0.08380,0.1444
0.07430,0.04877,0.03011,0.3002, 1.000,0.06121,0.02946,0.03175,0.02193,0.03241,0.03142,0.03077,0.05368,0.03601,0.02881,0.05957,0.07234,0.1100,0.1313
0.06121,0.1414,0.02160,0.03928,0.06121, 1.000,0.04321,0.04255,0.02422,0.01931,0.03208,0.02029,0.08183,0.09329,0.05106,0.04975,0.04092,0.1957,0.08903
0.05401,0.1948,0.01800,0.01866,0.02946,0.04321, 1.000,0.03437,0.03077,0.02684,0.02782,0.05139,0.03502,0.08412,0.06514,0.03830,0.01964,0.04419,0.02324
0.02029,0.04288,0.07987,0.02455,0.03175,0.04255,0.03437, 1.000,0.02684,0.03830,0.07627,0.03110,0.08085,0.02848,0.03895,0.03601,0.02848,0.03372,0.02160
0.01571,0.03077,0.03241,0.02488,0.02193,0.02422,0.03077,0.02684, 1.000,0.03568,0.02390,0.08936,0.01997,0.04124,0.03077,0.02324,0.04190,0.02029,0.01931
0.03437,0.03470,0.02488,0.02619,0.03241,0.01931,0.02684,0.03830,0.03568, 1.000,0.04812,0.03928,0.02881,0.02520,0.02586,0.02259,0.03077,0.02193,0.02520
0.02848,0.02553,0.07430,0.03502,0.03142,0.03208,0.02782,0.07627,0.02390,0.04812, 1.000,0.02291,0.04583,0.02979,0.02193,0.04648,0.01506,0.03470,0.02160
0.02226,0.02226,0.03601,0.03077,0.03077,0.02029,0.05139,0.03110,0.08936,0.03928,0.02291, 1.000,0.02160,0.02717,0.01669,0.01375,0.04681,0.01833,0.02815
0.05008,0.05957,0.02422,0.03797,0.05368,0.08183,0.03502,0.08085,0.01997,0.02881,0.04583,0.02160, 1.000,0.06776,0.03404,0.02913,0.02946,0.1450,0.03601
0.08478,0.1538,0.03470,0.02717,0.03601,0.09329,0.08412,0.02848,0.04124,0.02520,0.02979,0.02717,0.06776, 1.000,0.1011,0.03895,0.02553,0.1241,0.03830
0.1614,0.1290,0.07660,0.03601,0.02881,0.05106,0.06514,0.03895,0.03077,0.02586,0.02193,0.01669,0.03404,0.1011, 1.000,0.09002,0.02946,0.04681,0.04124
0.1669,0.07954,0.1028,0.08052,0.05957,0.04975,0.03830,0.03601,0.02324,0.02259,0.04648,0.01375,0.02913,0.03895,0.09002, 1.000,0.08282,0.05237,0.1257
0.07660,0.03372,0.04517,0.1159,0.07234,0.04092,0.01964,0.02848,0.04190,0.03077,0.01506,0.04681,0.02946,0.02553,0.02946,0.08282, 1.000,0.05401,0.2383
0.09296,0.1097,0.02586,0.08380,0.1100,0.1957,0.04419,0.03372,0.02029,0.02193,0.03470,0.01833,0.1450,0.1241,0.04681,0.05237,0.05401, 1.000,0.1561
0.1185,0.05794,0.04517,0.1444,0.1313,0.08903,0.02324,0.02160,0.01931,0.02520,0.02160,0.02815,0.03601,0.03830,0.04124,0.1257,0.2383,0.1561, 1.000
