Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1878,0.1757,0.1130,0.02435,0.001739,0.2383,0.03652,0.02783,0.04696,0.03652,0.07304,0.02087,0.09739,0.3252,0.2157,0.04870,0.06783,0.07304
0.1878, 1.000,0.07478,0.07652,0.03478,0.02783,0.2365,0.03130,0.04000,0.03826,0.01913,0.06609,0.07652,0.1809,0.1461,0.08522,0.03304,0.08174,0.05217
0.1757,0.07478, 1.000,0.03304,0.05565,0.04522,0.1617,0.1270,0.01391,0.09565,0.1043,0.06087,0.02261,0.05565,0.1426,0.1687,0.03478,0.02957,0.07826
0.1130,0.07652,0.03304, 1.000,0.03478,0.02261,0.02609,0.01913,0.04174,0.01217, 0.000,0.03826,0.05913,0.05391,0.04870,0.1530,0.1548,0.1148,0.2904
0.02435,0.03478,0.05565,0.03478, 1.000,0.3270,0.02261,0.04348,0.03478,0.1287,0.04174,0.04174,0.04000,0.04000,0.02435,0.01217,0.02783,0.06783,0.02609
0.001739,0.02783,0.04522,0.02261,0.3270, 1.000,0.008696,0.04000,0.03130,0.09043,0.06087,0.01913,0.1061,0.02609, 0.000,0.01739,0.01217,0.1009,0.03478
0.2383,0.2365,0.1617,0.02609,0.02261,0.008696, 1.000,0.01913,0.02435,0.05391,0.05217,0.08000,0.03826,0.1409,0.1617,0.06957,0.02087,0.05043,0.03826
0.03652,0.03130,0.1270,0.01913,0.04348,0.04000,0.01913, 1.000,0.06087,0.07304,0.1530,0.02609,0.04000,0.01217,0.08174,0.05739,0.01739,0.03652,0.03130
0.02783,0.04000,0.01391,0.04174,0.03478,0.03130,0.02435,0.06087, 1.000,0.04696,0.04174,0.1113,0.02261,0.05391,0.02957,0.006957,0.05739,0.01391,0.06435
0.04696,0.03826,0.09565,0.01217,0.1287,0.09043,0.05391,0.07304,0.04696, 1.000,0.1130,0.06783,0.005217,0.04174,0.06957,0.02783,0.01565,0.02783,0.008696
0.03652,0.01913,0.1043, 0.000,0.04174,0.06087,0.05217,0.1530,0.04174,0.1130, 1.000,0.01391,0.07478,0.02261,0.03304,0.05565,0.02261,0.03130,0.01043
0.07304,0.06609,0.06087,0.03826,0.04174,0.01913,0.08000,0.02609,0.1113,0.06783,0.01391, 1.000,0.02435,0.1252,0.1009,0.05391,0.07304,0.01565,0.02957
0.02087,0.07652,0.02261,0.05913,0.04000,0.1061,0.03826,0.04000,0.02261,0.005217,0.07478,0.02435, 1.000,0.08696,0.01217,0.01391,0.02087,0.1200,0.03826
0.09739,0.1809,0.05565,0.05391,0.04000,0.02609,0.1409,0.01217,0.05391,0.04174,0.02261,0.1252,0.08696, 1.000,0.1461,0.05565,0.01739,0.1165,0.02957
0.3252,0.1461,0.1426,0.04870,0.02435, 0.000,0.1617,0.08174,0.02957,0.06957,0.03304,0.1009,0.01217,0.1461, 1.000,0.1304,0.03478,0.02609,0.02609
0.2157,0.08522,0.1687,0.1530,0.01217,0.01739,0.06957,0.05739,0.006957,0.02783,0.05565,0.05391,0.01391,0.05565,0.1304, 1.000,0.07130,0.08348,0.1043
0.04870,0.03304,0.03478,0.1548,0.02783,0.01217,0.02087,0.01739,0.05739,0.01565,0.02261,0.07304,0.02087,0.01739,0.03478,0.07130, 1.000,0.01565,0.1548
0.06783,0.08174,0.02957,0.1148,0.06783,0.1009,0.05043,0.03652,0.01391,0.02783,0.03130,0.01565,0.1200,0.1165,0.02609,0.08348,0.01565, 1.000,0.09565
0.07304,0.05217,0.07826,0.2904,0.02609,0.03478,0.03826,0.03130,0.06435,0.008696,0.01043,0.02957,0.03826,0.02957,0.02609,0.1043,0.1548,0.09565, 1.000
