Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1472,0.06560,0.1771,0.06987,0.02720,0.03840,0.05707,0.02827,0.02400,0.02560,0.02613,0.03307,0.05920,0.1024,0.06773,0.04053,0.03627,0.04320
0.1472, 1.000,0.03147,0.05013,0.07520,0.1035,0.08960,0.04000,0.03253,0.02187,0.02133,0.02080,0.03307,0.07733,0.1141,0.07413,0.05067,0.04480,0.07360
0.06560,0.03147, 1.000,0.05653,0.01707,0.01920,0.04800,0.07467,0.02773,0.02613,0.06560,0.03520,0.02667,0.02720,0.05120,0.05493,0.02347,0.02133,0.02560
0.1771,0.05013,0.05653, 1.000,0.1040,0.02453,0.02187,0.03520,0.01813,0.01920,0.03467,0.02880,0.02613,0.03200,0.04747,0.07680,0.06347,0.03307,0.05440
0.06987,0.07520,0.01707,0.1040, 1.000,0.05920,0.02133,0.02027,0.02667,0.02453,0.02720,0.02133,0.04213,0.04533,0.04267,0.04427,0.05973,0.07680,0.07573
0.02720,0.1035,0.01920,0.02453,0.05920, 1.000,0.05333,0.02027,0.02507,0.02347,0.02507,0.01387,0.03733,0.04960,0.04267,0.02987,0.03733,0.09333,0.05280
0.03840,0.08960,0.04800,0.02187,0.02133,0.05333, 1.000,0.03467,0.03040,0.02347,0.02880,0.04053,0.03093,0.06507,0.05653,0.04053,0.02613,0.04267,0.03360
0.05707,0.04000,0.07467,0.03520,0.02027,0.02027,0.03467, 1.000,0.01653,0.09387,0.08213,0.03093,0.02827,0.02080,0.03307,0.06933,0.02507,0.01920,0.02987
0.02827,0.03253,0.02773,0.01813,0.02667,0.02507,0.03040,0.01653, 1.000,0.02773,0.02347,0.03733,0.01973,0.05173,0.02933,0.02187,0.02880,0.02827,0.02187
0.02400,0.02187,0.02613,0.01920,0.02453,0.02347,0.02347,0.09387,0.02773, 1.000,0.02773,0.09227,0.02933,0.02240,0.03200,0.02613,0.02613,0.02720,0.02667
0.02560,0.02133,0.06560,0.03467,0.02720,0.02507,0.02880,0.08213,0.02347,0.02773, 1.000,0.01973,0.03093,0.02667,0.02880,0.02133,0.01813,0.02827,0.01600
0.02613,0.02080,0.03520,0.02880,0.02133,0.01387,0.04053,0.03093,0.03733,0.09227,0.01973, 1.000,0.02133,0.04320,0.02933,0.01920,0.02933,0.02507,0.02560
0.03307,0.03307,0.02667,0.02613,0.04213,0.03733,0.03093,0.02827,0.01973,0.02933,0.03093,0.02133, 1.000,0.09493,0.01973,0.02027,0.02667,0.1861,0.03040
0.05920,0.07733,0.02720,0.03200,0.04533,0.04960,0.06507,0.02080,0.05173,0.02240,0.02667,0.04320,0.09493, 1.000,0.06560,0.01973,0.02613,0.1349,0.02613
0.1024,0.1141,0.05120,0.04747,0.04267,0.04267,0.05653,0.03307,0.02933,0.03200,0.02880,0.02933,0.01973,0.06560, 1.000,0.06880,0.02347,0.04320,0.04053
0.06773,0.07413,0.05493,0.07680,0.04427,0.02987,0.04053,0.06933,0.02187,0.02613,0.02133,0.01920,0.02027,0.01973,0.06880, 1.000,0.1392,0.02667,0.1813
0.04053,0.05067,0.02347,0.06347,0.05973,0.03733,0.02613,0.02507,0.02880,0.02613,0.01813,0.02933,0.02667,0.02613,0.02347,0.1392, 1.000,0.04427,0.3285
0.03627,0.04480,0.02133,0.03307,0.07680,0.09333,0.04267,0.01920,0.02827,0.02720,0.02827,0.02507,0.1861,0.1349,0.04320,0.02667,0.04427, 1.000,0.04907
0.04320,0.07360,0.02560,0.05440,0.07573,0.05280,0.03360,0.02987,0.02187,0.02667,0.01600,0.02560,0.03040,0.02613,0.04053,0.1813,0.3285,0.04907, 1.000
