Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1343,0.05121,0.04300,0.06135,0.04879,0.03382,0.02657,0.03816,0.03333,0.03333,0.02899,0.03816,0.05024,0.04879,0.05314,0.03816,0.03430,0.03527
0.1343, 1.000,0.03671,0.03043,0.1121,0.1957,0.1179,0.02512,0.03623,0.02995,0.02802,0.01836,0.04831,0.1101,0.07971,0.03720,0.03623,0.06522,0.05797
0.05121,0.03671, 1.000,0.09614,0.03188,0.02126,0.01884,0.1068,0.02560,0.02415,0.02657,0.03043,0.02754,0.02705,0.05169,0.04638,0.04203,0.04058,0.03865
0.04300,0.03043,0.09614, 1.000,0.09179,0.02754,0.02609,0.04928,0.05169,0.02705,0.03478,0.05652,0.03478,0.02609,0.04493,0.1024,0.1140,0.05797,0.06280
0.06135,0.1121,0.03188,0.09179, 1.000,0.1242,0.02754,0.02174,0.02319,0.03720,0.02802,0.02464,0.07488,0.04251,0.04396,0.05121,0.07053,0.1106,0.07391
0.04879,0.1957,0.02126,0.02754,0.1242, 1.000,0.09420,0.03043,0.04106,0.02705,0.04928,0.02415,0.06812,0.1217,0.06377,0.01884,0.03188,0.09662,0.07053
0.03382,0.1179,0.01884,0.02609,0.02754,0.09420, 1.000,0.01932,0.05072,0.02705,0.03043,0.09372,0.02705,0.1391,0.08599,0.03285,0.02126,0.03865,0.02705
0.02657,0.02512,0.1068,0.04928,0.02174,0.03043,0.01932, 1.000,0.05990,0.03961,0.04396,0.02850,0.02899,0.03140,0.03575,0.04010,0.02754,0.02899,0.02802
0.03816,0.03623,0.02560,0.05169,0.02319,0.04106,0.05072,0.05990, 1.000,0.03720,0.02319,0.03382,0.02850,0.04396,0.02609,0.02029,0.02560,0.03043,0.02271
0.03333,0.02995,0.02415,0.02705,0.03720,0.02705,0.02705,0.03961,0.03720, 1.000,0.03188,0.03527,0.04783,0.02174,0.02899,0.01643,0.03188,0.02802,0.02464
0.03333,0.02802,0.02657,0.03478,0.02802,0.04928,0.03043,0.04396,0.02319,0.03188, 1.000,0.03623,0.03333,0.03623,0.02657,0.03865,0.02077,0.02850,0.01884
0.02899,0.01836,0.03043,0.05652,0.02464,0.02415,0.09372,0.02850,0.03382,0.03527,0.03623, 1.000,0.02609,0.03140,0.02754,0.02464,0.05362,0.02657,0.02415
0.03816,0.04831,0.02754,0.03478,0.07488,0.06812,0.02705,0.02899,0.02850,0.04783,0.03333,0.02609, 1.000,0.09082,0.02560,0.02126,0.03913,0.08406,0.02899
0.05024,0.1101,0.02705,0.02609,0.04251,0.1217,0.1391,0.03140,0.04396,0.02174,0.03623,0.03140,0.09082, 1.000,0.09662,0.02802,0.02126,0.06135,0.02512
0.04879,0.07971,0.05169,0.04493,0.04396,0.06377,0.08599,0.03575,0.02609,0.02899,0.02657,0.02754,0.02560,0.09662, 1.000,0.06667,0.02609,0.05266,0.03237
0.05314,0.03720,0.04638,0.1024,0.05121,0.01884,0.03285,0.04010,0.02029,0.01643,0.03865,0.02464,0.02126,0.02802,0.06667, 1.000,0.03768,0.02802,0.04831
0.03816,0.03623,0.04203,0.1140,0.07053,0.03188,0.02126,0.02754,0.02560,0.03188,0.02077,0.05362,0.03913,0.02126,0.02609,0.03768, 1.000,0.05894,0.1420
0.03430,0.06522,0.04058,0.05797,0.1106,0.09662,0.03865,0.02899,0.03043,0.02802,0.02850,0.02657,0.08406,0.06135,0.05266,0.02802,0.05894, 1.000,0.1473
0.03527,0.05797,0.03865,0.06280,0.07391,0.07053,0.02705,0.02802,0.02271,0.02464,0.01884,0.02415,0.02899,0.02512,0.03237,0.04831,0.1420,0.1473, 1.000
