Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.05725,0.02672,0.2808,0.02345,0.01908,0.04962,0.04308,0.03762,0.04144,0.02726,0.07034,0.04471,0.06816,0.08015,0.03544,0.03599,0.05180,0.06216
0.05725, 1.000,0.06325,0.02508,0.05616,0.05344,0.05671,0.3321,0.04089,0.03708,0.03272,0.02345,0.1630,0.1298,0.4395,0.09542,0.06434,0.02017,0.1161
0.02672,0.06325, 1.000,0.02672,0.2863,0.2579,0.1085,0.04308,0.03381,0.02890,0.08288,0.02890,0.03053,0.08670,0.05943,0.1161,0.1069,0.1129,0.2301
0.2808,0.02508,0.02672, 1.000,0.01745,0.03817,0.02835,0.02999,0.03490,0.02399,0.02454,0.08015,0.02944,0.02454,0.02672,0.02890,0.03326,0.04853,0.02345
0.02345,0.05616,0.2863,0.01745, 1.000,0.1145,0.03926,0.03599,0.01908,0.04253,0.05671,0.02944,0.03108,0.03817,0.04798,0.1314,0.1205,0.08615,0.09487
0.01908,0.05344,0.2579,0.03817,0.1145, 1.000,0.1505,0.04907,0.04253,0.02563,0.05344,0.02781,0.03381,0.08833,0.07361,0.1352,0.1270,0.05507,0.1320
0.04962,0.05671,0.1085,0.02835,0.03926,0.1505, 1.000,0.04362,0.1009,0.05125,0.02672,0.06761,0.02454,0.1587,0.1080,0.04853,0.04198,0.04089,0.1434
0.04308,0.3321,0.04308,0.02999,0.03599,0.04907,0.04362, 1.000,0.02072,0.05234,0.06107,0.01581,0.3550,0.06707,0.1974,0.07961,0.05453,0.04417,0.06816
0.03762,0.04089,0.03381,0.03490,0.01908,0.04253,0.1009,0.02072, 1.000,0.08342,0.03381,0.1363,0.03762,0.1123,0.05943,0.02126,0.02617,0.02345,0.06161
0.04144,0.03708,0.02890,0.02399,0.04253,0.02563,0.05125,0.05234,0.08342, 1.000,0.05071,0.02726,0.1134,0.03599,0.04689,0.01854,0.01963,0.1123,0.03162
0.02726,0.03272,0.08288,0.02454,0.05671,0.05344,0.02672,0.06107,0.03381,0.05071, 1.000,0.02999,0.07034,0.05507,0.04198,0.02672,0.03599,0.1854,0.06598
0.07034,0.02345,0.02890,0.08015,0.02944,0.02781,0.06761,0.01581,0.1363,0.02726,0.02999, 1.000,0.01963,0.06216,0.03272,0.02454,0.03053,0.02508,0.04689
0.04471,0.1630,0.03053,0.02944,0.03108,0.03381,0.02454,0.3550,0.03762,0.1134,0.07034,0.01963, 1.000,0.05234,0.1227,0.03490,0.02563,0.07361,0.04253
0.06816,0.1298,0.08670,0.02454,0.03817,0.08833,0.1587,0.06707,0.1123,0.03599,0.05507,0.06216,0.05234, 1.000,0.2595,0.03326,0.02563,0.03871,0.3637
0.08015,0.4395,0.05943,0.02672,0.04798,0.07361,0.1080,0.1974,0.05943,0.04689,0.04198,0.03272,0.1227,0.2595, 1.000,0.05562,0.03926,0.02890,0.1734
0.03544,0.09542,0.1161,0.02890,0.1314,0.1352,0.04853,0.07961,0.02126,0.01854,0.02672,0.02454,0.03490,0.03326,0.05562, 1.000,0.6270,0.02454,0.05289
0.03599,0.06434,0.1069,0.03326,0.1205,0.1270,0.04198,0.05453,0.02617,0.01963,0.03599,0.03053,0.02563,0.02563,0.03926,0.6270, 1.000,0.03108,0.03980
0.05180,0.02017,0.1129,0.04853,0.08615,0.05507,0.04089,0.04417,0.02345,0.1123,0.1854,0.02508,0.07361,0.03871,0.02890,0.02454,0.03108, 1.000,0.05180
0.06216,0.1161,0.2301,0.02345,0.09487,0.1320,0.1434,0.06816,0.06161,0.03162,0.06598,0.04689,0.04253,0.3637,0.1734,0.05289,0.03980,0.05180, 1.000
