Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.09392,0.03066,0.08759,0.1470,0.1007,0.03893,0.02433,0.02287,0.02482,0.02287,0.02822,0.03017,0.02238,0.05304,0.06764,0.04769,0.03163,0.03114
0.09392, 1.000,0.02530,0.02579,0.03698,0.07835,0.06472,0.1071,0.02384,0.03942,0.02092,0.02822,0.03504,0.03114,0.08759,0.06861,0.04234,0.02774,0.02968
0.03066,0.02530, 1.000,0.03066,0.03114,0.03698,0.03796,0.02336,0.03504,0.03260,0.02190,0.01849,0.02238,0.02336,0.02141,0.04331,0.07056,0.1333,0.03163
0.08759,0.02579,0.03066, 1.000,0.06764,0.03358,0.02968,0.02238,0.02774,0.03358,0.02482,0.04623,0.02774,0.02287,0.02287,0.05596,0.04720,0.02920,0.02044
0.1470,0.03698,0.03114,0.06764, 1.000,0.07591,0.02530,0.02822,0.03114,0.03066,0.01655,0.02774,0.03212,0.02530,0.03844,0.05207,0.04672,0.04331,0.03114
0.1007,0.07835,0.03698,0.03358,0.07591, 1.000,0.1148,0.02287,0.02774,0.02336,0.02433,0.02092,0.02044,0.04185,0.04234,0.03309,0.03552,0.03698,0.03601
0.03893,0.06472,0.03796,0.02968,0.02530,0.1148, 1.000,0.05450,0.02725,0.03260,0.02238,0.02774,0.03017,0.04915,0.05742,0.03260,0.02968,0.03552,0.04136
0.02433,0.1071,0.02336,0.02238,0.02822,0.02287,0.05450, 1.000,0.02044,0.05791,0.02774,0.01800,0.04574,0.02141,0.05401,0.04477,0.03260,0.01946,0.01946
0.02287,0.02384,0.03504,0.02774,0.03114,0.02774,0.02725,0.02044, 1.000,0.02725,0.02822,0.02384,0.01849,0.03358,0.02336,0.02920,0.03358,0.03260,0.02676
0.02482,0.03942,0.03260,0.03358,0.03066,0.02336,0.03260,0.05791,0.02725, 1.000,0.02384,0.03066,0.03114,0.03260,0.05353,0.02482,0.03942,0.04234,0.03114
0.02287,0.02092,0.02190,0.02482,0.01655,0.02433,0.02238,0.02774,0.02822,0.02384, 1.000,0.02920,0.02725,0.02579,0.02190,0.03796,0.02676,0.02725,0.02141
0.02822,0.02822,0.01849,0.04623,0.02774,0.02092,0.02774,0.01800,0.02384,0.03066,0.02920, 1.000,0.01898,0.03309,0.03406,0.02871,0.05547,0.02579,0.02433
0.03017,0.03504,0.02238,0.02774,0.03212,0.02044,0.03017,0.04574,0.01849,0.03114,0.02725,0.01898, 1.000,0.04282,0.04526,0.05791,0.02384,0.02238,0.05255
0.02238,0.03114,0.02336,0.02287,0.02530,0.04185,0.04915,0.02141,0.03358,0.03260,0.02579,0.03309,0.04282, 1.000,0.1144,0.03309,0.02530,0.02336,0.07737
0.05304,0.08759,0.02141,0.02287,0.03844,0.04234,0.05742,0.05401,0.02336,0.05353,0.02190,0.03406,0.04526,0.1144, 1.000,0.03552,0.01606,0.02482,0.05401
0.06764,0.06861,0.04331,0.05596,0.05207,0.03309,0.03260,0.04477,0.02920,0.02482,0.03796,0.02871,0.05791,0.03309,0.03552, 1.000,0.08273,0.02920,0.03017
0.04769,0.04234,0.07056,0.04720,0.04672,0.03552,0.02968,0.03260,0.03358,0.03942,0.02676,0.05547,0.02384,0.02530,0.01606,0.08273, 1.000,0.1036,0.02482
0.03163,0.02774,0.1333,0.02920,0.04331,0.03698,0.03552,0.01946,0.03260,0.04234,0.02725,0.02579,0.02238,0.02336,0.02482,0.02920,0.1036, 1.000,0.02482
0.03114,0.02968,0.03163,0.02044,0.03114,0.03601,0.04136,0.01946,0.02676,0.03114,0.02141,0.02433,0.05255,0.07737,0.05401,0.03017,0.02482,0.02482, 1.000
