Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.08024,0.03832,0.03234,0.03353,0.1413,0.03353,0.02994,0.06108,0.04072,0.07066,0.01916,0.02036,0.1377,0.09461,0.06228,0.04551,0.007186,0.03713
0.08024, 1.000,0.02275,0.02395,0.03832,0.06587,0.03353,0.1689,0.1222,0.05509,0.03234,0.02635,0.04671,0.06228,0.05150,0.06347,0.03952,0.008383,0.03593
0.03832,0.02275, 1.000,0.2503,0.06587,0.07425,0.1162,0.03353,0.07425,0.09222,0.2503,0.03114,0.05269,0.1246,0.08144,0.02874,0.04671,0.2479,0.3210
0.03234,0.02395,0.2503, 1.000,0.05868,0.07066,0.05389,0.02515,0.06467,0.1425,0.1114,0.02395,0.1198,0.07904,0.04311,0.02036,0.08503,0.2048,0.1353
0.03353,0.03832,0.06587,0.05868, 1.000,0.05389,0.04790,0.04311,0.08743,0.1437,0.08503,0.03832,0.03593,0.04790,0.05988,0.01557,0.07784,0.1365,0.02275
0.1413,0.06587,0.07425,0.07066,0.05389, 1.000,0.1389,0.1198,0.04910,0.02515,0.1689,0.03593,0.01078,0.2371,0.1126,0.05150,0.03832,0.07784,0.1006
0.03353,0.03353,0.1162,0.05389,0.04790,0.1389, 1.000,0.1365,0.07186,0.03234,0.07665,0.04192,0.01796,0.1210,0.09581,0.02635,0.02874,0.09461,0.1257
0.02994,0.1689,0.03353,0.02515,0.04311,0.1198,0.1365, 1.000,0.09701,0.04072,0.03234,0.05150,0.01557,0.09222,0.08623,0.03593,0.02515,0.02275,0.05629
0.06108,0.1222,0.07425,0.06467,0.08743,0.04910,0.07186,0.09701, 1.000,0.09701,0.05030,0.01916,0.05389,0.09222,0.08623,0.03593,0.02754,0.06946,0.07305
0.04072,0.05509,0.09222,0.1425,0.1437,0.02515,0.03234,0.04072,0.09701, 1.000,0.06587,0.02754,0.08144,0.04311,0.06467,0.05509,0.08743,0.09222,0.06946
0.07066,0.03234,0.2503,0.1114,0.08503,0.1689,0.07665,0.03234,0.05030,0.06587, 1.000,0.03234,0.03353,0.1832,0.09701,0.03473,0.05749,0.1796,0.1713
0.01916,0.02635,0.03114,0.02395,0.03832,0.03593,0.04192,0.05150,0.01916,0.02754,0.03234, 1.000,0.05389,0.05389,0.09581,0.04311,0.03114,0.03713,0.02515
0.02036,0.04671,0.05269,0.1198,0.03593,0.01078,0.01796,0.01557,0.05389,0.08144,0.03353,0.05389, 1.000,0.01437,0.02275,0.03353,0.1557,0.05629,0.03114
0.1377,0.06228,0.1246,0.07904,0.04790,0.2371,0.1210,0.09222,0.09222,0.04311,0.1832,0.05389,0.01437, 1.000,0.3521,0.05269,0.04431,0.05150,0.1569
0.09461,0.05150,0.08144,0.04311,0.05988,0.1126,0.09581,0.08623,0.08623,0.06467,0.09701,0.09581,0.02275,0.3521, 1.000,0.01317,0.01796,0.05389,0.1042
0.06228,0.06347,0.02874,0.02036,0.01557,0.05150,0.02635,0.03593,0.03593,0.05509,0.03473,0.04311,0.03353,0.05269,0.01317, 1.000,0.02515,0.03593,0.05868
0.04551,0.03952,0.04671,0.08503,0.07784,0.03832,0.02874,0.02515,0.02754,0.08743,0.05749,0.03114,0.1557,0.04431,0.01796,0.02515, 1.000,0.1305,0.03593
0.007186,0.008383,0.2479,0.2048,0.1365,0.07784,0.09461,0.02275,0.06946,0.09222,0.1796,0.03713,0.05629,0.05150,0.05389,0.03593,0.1305, 1.000,0.09701
0.03713,0.03593,0.3210,0.1353,0.02275,0.1006,0.1257,0.05629,0.07305,0.06946,0.1713,0.02515,0.03114,0.1569,0.1042,0.05868,0.03593,0.09701, 1.000
