Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04782,0.03975,0.04276,0.05115,0.02486,0.02502,0.02059,0.02043,0.02090,0.02043,0.02138,0.02977,0.02914,0.03848,0.02185,0.02755,0.02644,0.02755
0.04782, 1.000,0.02249,0.02565,0.06445,0.03500,0.1026,0.02154,0.02771,0.02201,0.01979,0.02249,0.03595,0.04038,0.04339,0.02391,0.02644,0.03072,0.02280
0.03975,0.02249, 1.000,0.03721,0.02106,0.02629,0.02059,0.04228,0.02423,0.01789,0.02629,0.02074,0.02106,0.02280,0.03040,0.02138,0.03183,0.02708,0.03104
0.04276,0.02565,0.03721, 1.000,0.07332,0.02454,0.02138,0.02296,0.02930,0.02328,0.02296,0.02581,0.02344,0.02122,0.02423,0.02629,0.03642,0.03531,0.05400
0.05115,0.06445,0.02106,0.07332, 1.000,0.1045,0.02755,0.01964,0.02043,0.03547,0.02201,0.02043,0.04766,0.03990,0.03389,0.02724,0.04276,0.07585,0.06049
0.02486,0.03500,0.02629,0.02454,0.1045, 1.000,0.04291,0.03025,0.01884,0.02676,0.03405,0.02264,0.03911,0.04054,0.02502,0.02771,0.02581,0.07126,0.03674
0.02502,0.1026,0.02059,0.02138,0.02755,0.04291, 1.000,0.02835,0.03278,0.02344,0.02454,0.06683,0.03452,0.05637,0.02945,0.02249,0.02391,0.02993,0.02249
0.02059,0.02154,0.04228,0.02296,0.01964,0.03025,0.02835, 1.000,0.02534,0.02470,0.02644,0.02328,0.02708,0.02914,0.02597,0.02185,0.02914,0.02391,0.02549
0.02043,0.02771,0.02423,0.02930,0.02043,0.01884,0.03278,0.02534, 1.000,0.02660,0.02518,0.03579,0.02185,0.03357,0.02185,0.03167,0.03151,0.02565,0.03690
0.02090,0.02201,0.01789,0.02328,0.03547,0.02676,0.02344,0.02470,0.02660, 1.000,0.03579,0.01964,0.02740,0.02439,0.02185,0.05622,0.02819,0.04798,0.03943
0.02043,0.01979,0.02629,0.02296,0.02201,0.03405,0.02454,0.02644,0.02518,0.03579, 1.000,0.03468,0.03262,0.02344,0.01821,0.05558,0.02217,0.03943,0.02375
0.02138,0.02249,0.02074,0.02581,0.02043,0.02264,0.06683,0.02328,0.03579,0.01964,0.03468, 1.000,0.02692,0.02835,0.02359,0.02549,0.02945,0.01948,0.02185
0.02977,0.03595,0.02106,0.02344,0.04766,0.03911,0.03452,0.02708,0.02185,0.02740,0.03262,0.02692, 1.000,0.05036,0.02391,0.02423,0.02138,0.1433,0.02391
0.02914,0.04038,0.02280,0.02122,0.03990,0.04054,0.05637,0.02914,0.03357,0.02439,0.02344,0.02835,0.05036, 1.000,0.03737,0.01869,0.02423,0.03484,0.02154
0.03848,0.04339,0.03040,0.02423,0.03389,0.02502,0.02945,0.02597,0.02185,0.02185,0.01821,0.02359,0.02391,0.03737, 1.000,0.03405,0.02011,0.02534,0.02613
0.02185,0.02391,0.02138,0.02629,0.02724,0.02771,0.02249,0.02185,0.03167,0.05622,0.05558,0.02549,0.02423,0.01869,0.03405, 1.000,0.03009,0.03785,0.03816
0.02755,0.02644,0.03183,0.03642,0.04276,0.02581,0.02391,0.02914,0.03151,0.02819,0.02217,0.02945,0.02138,0.02423,0.02011,0.03009, 1.000,0.02359,0.1937
0.02644,0.03072,0.02708,0.03531,0.07585,0.07126,0.02993,0.02391,0.02565,0.04798,0.03943,0.01948,0.1433,0.03484,0.02534,0.03785,0.02359, 1.000,0.05717
0.02755,0.02280,0.03104,0.05400,0.06049,0.03674,0.02249,0.02549,0.03690,0.03943,0.02375,0.02185,0.02391,0.02154,0.02613,0.03816,0.1937,0.05717, 1.000
