Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3139,0.2837,0.2503,0.1527,0.08912,0.1160,0.05308,0.03080,0.07208,0.08912,0.03801,0.06553,0.09502,0.1160,0.1560,0.08388,0.06881,0.07798
0.3139, 1.000,0.2346,0.2104,0.2058,0.1193,0.2490,0.05111,0.05046,0.08912,0.09109,0.05177,0.05636,0.1094,0.1212,0.2405,0.1107,0.07471,0.1009
0.2837,0.2346, 1.000,0.2569,0.1199,0.06422,0.1035,0.07864,0.04587,0.07864,0.1029,0.05374,0.06291,0.1068,0.2176,0.2693,0.07208,0.07995,0.06225
0.2503,0.2104,0.2569, 1.000,0.2510,0.1271,0.08322,0.04587,0.05046,0.05177,0.06094,0.04587,0.07798,0.07864,0.09109,0.1474,0.1494,0.1232,0.1330
0.1527,0.2058,0.1199,0.2510, 1.000,0.3080,0.08060,0.03473,0.03277,0.07077,0.05963,0.04325,0.1658,0.1029,0.06160,0.08781,0.1311,0.1684,0.1514
0.08912,0.1193,0.06422,0.1271,0.3080, 1.000,0.06946,0.03866,0.02818,0.07339,0.05963,0.03277,0.1782,0.08978,0.05701,0.06488,0.1016,0.1704,0.1540
0.1160,0.2490,0.1035,0.08322,0.08060,0.06946, 1.000,0.03866,0.06488,0.08191,0.05111,0.03604,0.03473,0.1134,0.1140,0.09371,0.05505,0.04391,0.05701
0.05308,0.05111,0.07864,0.04587,0.03473,0.03866,0.03866, 1.000,0.03211,0.1022,0.1560,0.03080,0.05439,0.04128,0.1003,0.1225,0.04391,0.04718,0.04718
0.03080,0.05046,0.04587,0.05046,0.03277,0.02818,0.06488,0.03211, 1.000,0.07733,0.03211,0.07405,0.02949,0.04718,0.04391,0.04325,0.06553,0.03997,0.06291
0.07208,0.08912,0.07864,0.05177,0.07077,0.07339,0.08191,0.1022,0.07733, 1.000,0.1560,0.03211,0.07602,0.05701,0.1435,0.09174,0.04456,0.08781,0.05505
0.08912,0.09109,0.1029,0.06094,0.05963,0.05963,0.05111,0.1560,0.03211,0.1560, 1.000,0.04260,0.06094,0.03735,0.1094,0.1822,0.04718,0.06619,0.04718
0.03801,0.05177,0.05374,0.04587,0.04325,0.03277,0.03604,0.03080,0.07405,0.03211,0.04260, 1.000,0.02883,0.04849,0.04128,0.06356,0.06356,0.03211,0.04915
0.06553,0.05636,0.06291,0.07798,0.1658,0.1782,0.03473,0.05439,0.02949,0.07602,0.06094,0.02883, 1.000,0.08585,0.05701,0.04456,0.05505,0.2248,0.07929
0.09502,0.1094,0.1068,0.07864,0.1029,0.08978,0.1134,0.04128,0.04718,0.05701,0.03735,0.04849,0.08585, 1.000,0.09830,0.05046,0.04194,0.07208,0.04456
0.1160,0.1212,0.2176,0.09109,0.06160,0.05701,0.1140,0.1003,0.04391,0.1435,0.1094,0.04128,0.05701,0.09830, 1.000,0.1632,0.04849,0.05832,0.04456
0.1560,0.2405,0.2693,0.1474,0.08781,0.06488,0.09371,0.1225,0.04325,0.09174,0.1822,0.06356,0.04456,0.05046,0.1632, 1.000,0.09371,0.05963,0.07274
0.08388,0.1107,0.07208,0.1494,0.1311,0.1016,0.05505,0.04391,0.06553,0.04456,0.04718,0.06356,0.05505,0.04194,0.04849,0.09371, 1.000,0.1219,0.5197
0.06881,0.07471,0.07995,0.1232,0.1684,0.1704,0.04391,0.04718,0.03997,0.08781,0.06619,0.03211,0.2248,0.07208,0.05832,0.05963,0.1219, 1.000,0.1638
0.07798,0.1009,0.06225,0.1330,0.1514,0.1540,0.05701,0.04718,0.06291,0.05505,0.04718,0.04915,0.07929,0.04456,0.04456,0.07274,0.5197,0.1638, 1.000
