Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04662,0.09925,0.05564,0.03759,0.01654,0.05865,0.04511,0.03910,0.06015,0.01955,0.1023,0.03008,0.02707,0.03910,0.07970,0.1579,0.05113,0.06165
0.04662, 1.000,0.01955,0.05263,0.05714,0.05714,0.05564,0.05414,0.07068,0.03759,0.02105,0.04511,0.06015,0.1083,0.07368,0.06165,0.03158,0.07068,0.06015
0.09925,0.01955, 1.000,0.1459,0.01955,0.01203,0.03759,0.06917,0.04662,0.02256,0.03609,0.03158,0.04060,0.01053,0.04060,0.08120,0.1023,0.06466,0.02707
0.05564,0.05263,0.1459, 1.000,0.06015,0.009023,0.06617,0.03759,0.04361,0.03459,0.01955,0.02556,0.02857,0.02105,0.04511,0.09173,0.08421,0.09624,0.03609
0.03759,0.05714,0.01955,0.06015, 1.000,0.1534,0.02406,0.04211,0.03008,0.007519,0.02857,0.03609,0.04060,0.08722,0.1008,0.1218,0.09173,0.2256,0.1038
0.01654,0.05714,0.01203,0.009023,0.1534, 1.000,0.04662,0.04211,0.01053,0.004511,0.02105,0.03910,0.07218,0.09323,0.04511,0.04662,0.07068,0.07519,0.1008
0.05865,0.05564,0.03759,0.06617,0.02406,0.04662, 1.000,0.04962,0.06316,0.03609,0.03008,0.08571,0.06165,0.08872,0.04361,0.04361,0.03158,0.03910,0.04211
0.04511,0.05414,0.06917,0.03759,0.04211,0.04211,0.04962, 1.000,0.06015,0.07669,0.03759,0.05414,0.03008,0.03609,0.04962,0.03609,0.04511,0.04211,0.03609
0.03910,0.07068,0.04662,0.04361,0.03008,0.01053,0.06316,0.06015, 1.000,0.06917,0.03910,0.04511,0.03910,0.04211,0.02406,0.04511,0.04060,0.03609,0.05263
0.06015,0.03759,0.02256,0.03459,0.007519,0.004511,0.03609,0.07669,0.06917, 1.000,0.05564,0.06617,0.05113,0.03459,0.01955,0.04962,0.04511,0.02406,0.03609
0.01955,0.02105,0.03609,0.01955,0.02857,0.02105,0.03008,0.03759,0.03910,0.05564, 1.000,0.04511,0.02406,0.03759,0.01955,0.02105,0.01203,0.02406,0.03158
0.1023,0.04511,0.03158,0.02556,0.03609,0.03910,0.08571,0.05414,0.04511,0.06617,0.04511, 1.000,0.05263,0.07669,0.04060,0.04662,0.07218,0.04211,0.03759
0.03008,0.06015,0.04060,0.02857,0.04060,0.07218,0.06165,0.03008,0.03910,0.05113,0.02406,0.05263, 1.000,0.1203,0.05564,0.02707,0.03158,0.07519,0.07970
0.02707,0.1083,0.01053,0.02105,0.08722,0.09323,0.08872,0.03609,0.04211,0.03459,0.03759,0.07669,0.1203, 1.000,0.09173,0.05865,0.04060,0.1143,0.06767
0.03910,0.07368,0.04060,0.04511,0.1008,0.04511,0.04361,0.04962,0.02406,0.01955,0.01955,0.04060,0.05564,0.09173, 1.000,0.06466,0.02105,0.08421,0.08872
0.07970,0.06165,0.08120,0.09173,0.1218,0.04662,0.04361,0.03609,0.04511,0.04962,0.02105,0.04662,0.02707,0.05865,0.06466, 1.000,0.1083,0.06466,0.07519
0.1579,0.03158,0.1023,0.08421,0.09173,0.07068,0.03158,0.04511,0.04060,0.04511,0.01203,0.07218,0.03158,0.04060,0.02105,0.1083, 1.000,0.1098,0.08421
0.05113,0.07068,0.06466,0.09624,0.2256,0.07519,0.03910,0.04211,0.03609,0.02406,0.02406,0.04211,0.07519,0.1143,0.08421,0.06466,0.1098, 1.000,0.1429
0.06165,0.06015,0.02707,0.03609,0.1038,0.1008,0.04211,0.03609,0.05263,0.03609,0.03158,0.03759,0.07970,0.06767,0.08872,0.07519,0.08421,0.1429, 1.000
