Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1629,0.1880,0.2231,0.2732,0.1604,0.06516,0.01253,0.09524,0.07018,0.02757,0.06516,0.1278,0.1253,0.06767,0.1905,0.2506,0.2406,0.1629
0.1629, 1.000,0.05764,0.1303,0.2231,0.2055,0.06767,0.03258,0.05263,0.04762,0.03008,0.03509,0.1028,0.1228,0.1203,0.1830,0.09023,0.1579,0.1930
0.1880,0.05764, 1.000,0.2807,0.08521,0.05013,0.03509,0.04261,0.1053,0.08521,0.04511,0.06516,0.05263,0.04511,0.08772,0.2005,0.1629,0.1604,0.1003
0.2231,0.1303,0.2807, 1.000,0.2206,0.1178,0.02506,0.02005,0.1078,0.1178,0.04010,0.08020,0.09774,0.09023,0.1028,0.2782,0.2882,0.2005,0.1604
0.2732,0.2231,0.08521,0.2206, 1.000,0.4561,0.05013,0.01754,0.07268,0.1153,0.04010,0.07268,0.2155,0.1805,0.1228,0.2105,0.1980,0.3308,0.1980
0.1604,0.2055,0.05013,0.1178,0.4561, 1.000,0.06266,0.05263,0.06767,0.09524,0.05514,0.06767,0.1353,0.1404,0.07018,0.1604,0.1805,0.2281,0.2130
0.06516,0.06767,0.03509,0.02506,0.05013,0.06266, 1.000,0.06266,0.04010,0.03759,0.03258,0.06266,0.06516,0.09273,0.04762,0.02757,0.05514,0.05514,0.04261
0.01253,0.03258,0.04261,0.02005,0.01754,0.05263,0.06266, 1.000,0.1053,0.02757,0.05013,0.04261,0.03258,0.05013,0.02757,0.02256,0.007519,0.03008,0.03258
0.09524,0.05263,0.1053,0.1078,0.07268,0.06767,0.04010,0.1053, 1.000,0.03258,0.04762,0.08020,0.03759,0.04511,0.04762,0.09524,0.1103,0.09524,0.07268
0.07018,0.04762,0.08521,0.1178,0.1153,0.09524,0.03759,0.02757,0.03258, 1.000,0.05013,0.06015,0.07519,0.07018,0.05263,0.1429,0.1378,0.1003,0.1629
0.02757,0.03008,0.04511,0.04010,0.04010,0.05514,0.03258,0.05013,0.04762,0.05013, 1.000,0.04762,0.03759,0.02506,0.04010,0.06015,0.03258,0.04762,0.06516
0.06516,0.03509,0.06516,0.08020,0.07268,0.06767,0.06266,0.04261,0.08020,0.06015,0.04762, 1.000,0.04010,0.1128,0.03008,0.07268,0.1053,0.05764,0.05013
0.1278,0.1028,0.05263,0.09774,0.2155,0.1353,0.06516,0.03258,0.03759,0.07519,0.03759,0.04010, 1.000,0.2431,0.05013,0.07519,0.07018,0.1704,0.08521
0.1253,0.1228,0.04511,0.09023,0.1805,0.1404,0.09273,0.05013,0.04511,0.07018,0.02506,0.1128,0.2431, 1.000,0.08271,0.05013,0.09273,0.1078,0.04762
0.06767,0.1203,0.08772,0.1028,0.1228,0.07018,0.04762,0.02757,0.04762,0.05263,0.04010,0.03008,0.05013,0.08271, 1.000,0.1554,0.04010,0.1178,0.09273
0.1905,0.1830,0.2005,0.2782,0.2105,0.1604,0.02757,0.02256,0.09524,0.1429,0.06015,0.07268,0.07519,0.05013,0.1554, 1.000,0.3960,0.2331,0.3534
0.2506,0.09023,0.1629,0.2882,0.1980,0.1805,0.05514,0.007519,0.1103,0.1378,0.03258,0.1053,0.07018,0.09273,0.04010,0.3960, 1.000,0.2406,0.3183
0.2406,0.1579,0.1604,0.2005,0.3308,0.2281,0.05514,0.03008,0.09524,0.1003,0.04762,0.05764,0.1704,0.1078,0.1178,0.2331,0.2406, 1.000,0.3058
0.1629,0.1930,0.1003,0.1604,0.1980,0.2130,0.04261,0.03258,0.07268,0.1629,0.06516,0.05013,0.08521,0.04762,0.09273,0.3534,0.3183,0.3058, 1.000
