Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.6247,0.2756,0.2589,0.8977,0.2910,0.01003,0.007358,0.4742,0.3271,0.06622,0.03411,0.05084,0.4033,0.008696,0.01739,0.7753,0.6528,0.5137
0.6247, 1.000,0.4910,0.1445,0.7017,0.5211,0.01873,0.01405,0.8000,0.5739,0.1124,0.02475,0.03211,0.6950,0.01605,0.03144,0.8187,0.9619,0.8508
0.2756,0.4910, 1.000,0.06087,0.3144,0.9498,0.02542,0.02140,0.6375,0.8803,0.2381,0.01940,0.02207,0.7391,0.02207,0.04682,0.3833,0.4702,0.5893
0.2589,0.1445,0.06087, 1.000,0.2214,0.06488,0.01204,0.01605,0.1050,0.07492,0.02408,0.1224,0.1980,0.09298,0.01405,0.01204,0.1860,0.1538,0.1151
0.8977,0.7017,0.3144,0.2214, 1.000,0.3338,0.01338,0.01070,0.5405,0.3739,0.07358,0.03344,0.04883,0.4602,0.01204,0.02007,0.8682,0.7318,0.5826
0.2910,0.5211,0.9498,0.06488,0.3338, 1.000,0.02475,0.02007,0.6742,0.9244,0.2214,0.02007,0.02274,0.7786,0.02140,0.04281,0.4080,0.4990,0.6241
0.01003,0.01873,0.02542,0.01204,0.01338,0.02475, 1.000,0.7385,0.02007,0.02341,0.08829,0.1385,0.09766,0.02074,0.8341,0.5324,0.01538,0.01806,0.01940
0.007358,0.01405,0.02140,0.01605,0.01070,0.02007,0.7385, 1.000,0.01538,0.01873,0.06488,0.1933,0.1311,0.01672,0.8957,0.3552,0.01204,0.01405,0.01472
0.4742,0.8000,0.6375,0.1050,0.5405,0.6742,0.02007,0.01538, 1.000,0.7358,0.1431,0.02408,0.02809,0.8783,0.01672,0.03679,0.6428,0.7692,0.9371
0.3271,0.5739,0.8803,0.07492,0.3739,0.9244,0.02341,0.01873,0.7358, 1.000,0.2007,0.02140,0.02475,0.8475,0.02007,0.04080,0.4535,0.5498,0.6843
0.06622,0.1124,0.2381,0.02408,0.07358,0.2214,0.08829,0.06488,0.1431,0.2007, 1.000,0.02274,0.01940,0.1692,0.07023,0.1960,0.08629,0.1077,0.1338
0.03411,0.02475,0.01940,0.1224,0.03344,0.02007,0.1385,0.1933,0.02408,0.02140,0.02274, 1.000,0.7124,0.02140,0.1699,0.07224,0.02809,0.02542,0.02475
0.05084,0.03211,0.02207,0.1980,0.04883,0.02274,0.09766,0.1311,0.02809,0.02475,0.01940,0.7124, 1.000,0.02542,0.1164,0.05151,0.04147,0.03545,0.02876
0.4033,0.6950,0.7391,0.09298,0.4602,0.7786,0.02074,0.01672,0.8783,0.8475,0.1692,0.02140,0.02542, 1.000,0.01739,0.03880,0.5525,0.6676,0.8221
0.008696,0.01605,0.02207,0.01405,0.01204,0.02140,0.8341,0.8957,0.01672,0.02007,0.07023,0.1699,0.1164,0.01739, 1.000,0.4100,0.01338,0.01538,0.01672
0.01739,0.03144,0.04682,0.01204,0.02007,0.04281,0.5324,0.3552,0.03679,0.04080,0.1960,0.07224,0.05151,0.03880,0.4100, 1.000,0.02274,0.03010,0.03478
0.7753,0.8187,0.3833,0.1860,0.8682,0.4080,0.01538,0.01204,0.6428,0.4535,0.08629,0.02809,0.04147,0.5525,0.01338,0.02274, 1.000,0.8502,0.6876
0.6528,0.9619,0.4702,0.1538,0.7318,0.4990,0.01806,0.01405,0.7692,0.5498,0.1077,0.02542,0.03545,0.6676,0.01538,0.03010,0.8502, 1.000,0.8187
0.5137,0.8508,0.5893,0.1151,0.5826,0.6241,0.01940,0.01472,0.9371,0.6843,0.1338,0.02475,0.02876,0.8221,0.01672,0.03478,0.6876,0.8187, 1.000
