Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03782,0.03879,0.05091,0.04364,0.02327,0.01818,0.02497,0.01527,0.02109,0.02909,0.02812,0.02061,0.03442,0.05261,0.07273,0.04242,0.03612,0.04145
0.03782, 1.000,0.02206,0.02473,0.03685,0.03321,0.02764,0.02279,0.02642,0.02594,0.02424,0.02255,0.03321,0.04048,0.05358,0.04145,0.02642,0.03733,0.03370
0.03879,0.02206, 1.000,0.02958,0.02788,0.02521,0.01818,0.02788,0.01988,0.02521,0.02909,0.03200,0.01794,0.02255,0.03733,0.06133,0.02982,0.02279,0.02933
0.05091,0.02473,0.02958, 1.000,0.05673,0.02327,0.03685,0.02255,0.02788,0.02376,0.01915,0.05067,0.02958,0.02885,0.03152,0.06327,0.05333,0.04364,0.05042
0.04364,0.03685,0.02788,0.05673, 1.000,0.05648,0.02158,0.03103,0.02691,0.04436,0.02376,0.03370,0.05406,0.04824,0.03952,0.05236,0.05552,0.05988,0.06036
0.02327,0.03321,0.02521,0.02327,0.05648, 1.000,0.01867,0.02594,0.01988,0.02618,0.03103,0.02133,0.05285,0.04533,0.03273,0.03030,0.03055,0.03855,0.02400
0.01818,0.02764,0.01818,0.03685,0.02158,0.01867, 1.000,0.02739,0.03127,0.02594,0.02158,0.09988,0.02812,0.03030,0.02764,0.02327,0.02861,0.03273,0.02642
0.02497,0.02279,0.02788,0.02255,0.03103,0.02594,0.02739, 1.000,0.02570,0.03491,0.03467,0.03321,0.05358,0.02545,0.02594,0.03224,0.02376,0.02424,0.02255
0.01527,0.02642,0.01988,0.02788,0.02691,0.01988,0.03127,0.02570, 1.000,0.02691,0.02109,0.05891,0.02473,0.03418,0.02691,0.02473,0.04606,0.02230,0.02715
0.02109,0.02594,0.02521,0.02376,0.04436,0.02618,0.02594,0.03491,0.02691, 1.000,0.03758,0.03588,0.03442,0.02182,0.02933,0.01891,0.02594,0.03588,0.02279
0.02909,0.02424,0.02909,0.01915,0.02376,0.03103,0.02158,0.03467,0.02109,0.03758, 1.000,0.03176,0.03321,0.02230,0.02400,0.02836,0.02085,0.02715,0.01964
0.02812,0.02255,0.03200,0.05067,0.03370,0.02133,0.09988,0.03321,0.05891,0.03588,0.03176, 1.000,0.02739,0.03321,0.01867,0.04485,0.1726,0.02303,0.02933
0.02061,0.03321,0.01794,0.02958,0.05406,0.05285,0.02812,0.05358,0.02473,0.03442,0.03321,0.02739, 1.000,0.08461,0.02376,0.02497,0.01915,0.08533,0.03176
0.03442,0.04048,0.02255,0.02885,0.04824,0.04533,0.03030,0.02545,0.03418,0.02182,0.02230,0.03321,0.08461, 1.000,0.04703,0.03345,0.02473,0.05673,0.02521
0.05261,0.05358,0.03733,0.03152,0.03952,0.03273,0.02764,0.02594,0.02691,0.02933,0.02400,0.01867,0.02376,0.04703, 1.000,0.08824,0.02764,0.03224,0.03588
0.07273,0.04145,0.06133,0.06327,0.05236,0.03030,0.02327,0.03224,0.02473,0.01891,0.02836,0.04485,0.02497,0.03345,0.08824, 1.000,0.1852,0.03782,0.1137
0.04242,0.02642,0.02982,0.05333,0.05552,0.03055,0.02861,0.02376,0.04606,0.02594,0.02085,0.1726,0.01915,0.02473,0.02764,0.1852, 1.000,0.02812,0.08873
0.03612,0.03733,0.02279,0.04364,0.05988,0.03855,0.03273,0.02424,0.02230,0.03588,0.02715,0.02303,0.08533,0.05673,0.03224,0.03782,0.02812, 1.000,0.07152
0.04145,0.03370,0.02933,0.05042,0.06036,0.02400,0.02642,0.02255,0.02715,0.02279,0.01964,0.02933,0.03176,0.02521,0.03588,0.1137,0.08873,0.07152, 1.000
