Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2508,0.05722,0.2828,0.1711,0.1114,0.07056,0.03389,0.04083,0.02833,0.02917,0.04056,0.04528,0.05694,0.1094,0.3389,0.1289,0.1147,0.1367
0.2508, 1.000,0.02722,0.2017,0.4250,0.3486,0.1028,0.03278,0.02528,0.04278,0.02083,0.02750,0.07333,0.08250,0.1064,0.1344,0.08139,0.1264,0.1061
0.05722,0.02722, 1.000,0.04028,0.02333,0.02417,0.02722,0.1306,0.08306,0.02361,0.03667,0.03333,0.02306,0.02222,0.03472,0.04861,0.03667,0.03500,0.03278
0.2828,0.2017,0.04028, 1.000,0.2461,0.1564,0.05667,0.02583,0.04556,0.03917,0.02639,0.05111,0.07000,0.05167,0.07861,0.1169,0.1675,0.1353,0.1133
0.1711,0.4250,0.02333,0.2461, 1.000,0.4442,0.06472,0.02917,0.02500,0.06083,0.02250,0.04528,0.08639,0.05889,0.06333,0.09028,0.1200,0.1139,0.09361
0.1114,0.3486,0.02417,0.1564,0.4442, 1.000,0.07361,0.04500,0.02333,0.04500,0.02500,0.02833,0.1000,0.08306,0.06167,0.06083,0.06861,0.1147,0.07722
0.07056,0.1028,0.02722,0.05667,0.06472,0.07361, 1.000,0.03000,0.02111,0.02500,0.02417,0.02528,0.03917,0.1347,0.08389,0.07028,0.03056,0.06361,0.04833
0.03389,0.03278,0.1306,0.02583,0.02917,0.04500,0.03000, 1.000,0.07528,0.02611,0.07028,0.02833,0.03889,0.03333,0.02278,0.03583,0.03306,0.02528,0.02833
0.04083,0.02528,0.08306,0.04556,0.02500,0.02333,0.02111,0.07528, 1.000,0.02972,0.03194,0.04972,0.02111,0.02500,0.02167,0.04000,0.08306,0.02556,0.03722
0.02833,0.04278,0.02361,0.03917,0.06083,0.04500,0.02500,0.02611,0.02972, 1.000,0.02639,0.04750,0.03750,0.02861,0.02528,0.02528,0.06333,0.03694,0.03611
0.02917,0.02083,0.03667,0.02639,0.02250,0.02500,0.02417,0.07028,0.03194,0.02639, 1.000,0.05639,0.03222,0.03583,0.01806,0.03694,0.02861,0.02361,0.02361
0.04056,0.02750,0.03333,0.05111,0.04528,0.02833,0.02528,0.02833,0.04972,0.04750,0.05639, 1.000,0.02194,0.03306,0.02389,0.04417,0.1142,0.02750,0.02806
0.04528,0.07333,0.02306,0.07000,0.08639,0.1000,0.03917,0.03889,0.02111,0.03750,0.03222,0.02194, 1.000,0.1178,0.03722,0.03333,0.03722,0.08611,0.04139
0.05694,0.08250,0.02222,0.05167,0.05889,0.08306,0.1347,0.03333,0.02500,0.02861,0.03583,0.03306,0.1178, 1.000,0.09194,0.03694,0.03222,0.1258,0.03306
0.1094,0.1064,0.03472,0.07861,0.06333,0.06167,0.08389,0.02278,0.02167,0.02528,0.01806,0.02389,0.03722,0.09194, 1.000,0.1003,0.03583,0.07417,0.05833
0.3389,0.1344,0.04861,0.1169,0.09028,0.06083,0.07028,0.03583,0.04000,0.02528,0.03694,0.04417,0.03333,0.03694,0.1003, 1.000,0.1089,0.05583,0.1344
0.1289,0.08139,0.03667,0.1675,0.1200,0.06861,0.03056,0.03306,0.08306,0.06333,0.02861,0.1142,0.03722,0.03222,0.03583,0.1089, 1.000,0.05583,0.1344
0.1147,0.1264,0.03500,0.1353,0.1139,0.1147,0.06361,0.02528,0.02556,0.03694,0.02361,0.02750,0.08611,0.1258,0.07417,0.05583,0.05583, 1.000,0.08944
0.1367,0.1061,0.03278,0.1133,0.09361,0.07722,0.04833,0.02833,0.03722,0.03611,0.02361,0.02806,0.04139,0.03306,0.05833,0.1344,0.1344,0.08944, 1.000
