Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2319,0.1230,0.6311,0.1370,0.1581,0.04918,0.03396,0.07963,0.07494,0.01991,0.03396,0.07143,0.1019,0.04801,0.1007,0.07260,0.1042,0.1019
0.2319, 1.000,0.03864,0.2635,0.3220,0.4953,0.06792,0.02459,0.05855,0.1534,0.03279,0.03162,0.07260,0.09836,0.03981,0.09836,0.07143,0.1452,0.1358
0.1230,0.03864, 1.000,0.1218,0.03513,0.03279,0.04215,0.1030,0.07143,0.03044,0.02576,0.03747,0.03044,0.03162,0.05504,0.1311,0.03981,0.03396,0.09836
0.6311,0.2635,0.1218, 1.000,0.1874,0.1780,0.04215,0.03747,0.1136,0.1042,0.01756,0.03981,0.06792,0.07845,0.04098,0.09719,0.09368,0.1007,0.1440
0.1370,0.3220,0.03513,0.1874, 1.000,0.4204,0.05269,0.04450,0.04684,0.1593,0.04098,0.03396,0.07611,0.08899,0.02225,0.05035,0.09133,0.09953,0.08314
0.1581,0.4953,0.03279,0.1780,0.4204, 1.000,0.09016,0.02459,0.05152,0.1920,0.05152,0.03279,0.1148,0.1230,0.02810,0.05855,0.07963,0.2073,0.08899
0.04918,0.06792,0.04215,0.04215,0.05269,0.09016, 1.000,0.03044,0.02342,0.03864,0.08899,0.06323,0.05386,0.07143,0.04098,0.04918,0.02576,0.05855,0.05386
0.03396,0.02459,0.1030,0.03747,0.04450,0.02459,0.03044, 1.000,0.03630,0.03396,0.07260,0.05738,0.06089,0.04333,0.02693,0.06089,0.03396,0.02810,0.05504
0.07963,0.05855,0.07143,0.1136,0.04684,0.05152,0.02342,0.03630, 1.000,0.1042,0.01874,0.07494,0.03864,0.04333,0.02108,0.07845,0.2810,0.03279,0.1593
0.07494,0.1534,0.03044,0.1042,0.1593,0.1920,0.03864,0.03396,0.1042, 1.000,0.03747,0.02108,0.07845,0.05972,0.02225,0.05738,0.1557,0.08080,0.09251
0.01991,0.03279,0.02576,0.01756,0.04098,0.05152,0.08899,0.07260,0.01874,0.03747, 1.000,0.05152,0.1030,0.05386,0.02693,0.03396,0.01405,0.05972,0.03162
0.03396,0.03162,0.03747,0.03981,0.03396,0.03279,0.06323,0.05738,0.07494,0.02108,0.05152, 1.000,0.02576,0.04450,0.03162,0.02459,0.08314,0.02108,0.03747
0.07143,0.07260,0.03044,0.06792,0.07611,0.1148,0.05386,0.06089,0.03864,0.07845,0.1030,0.02576, 1.000,0.2436,0.03396,0.03279,0.03630,0.3103,0.02693
0.1019,0.09836,0.03162,0.07845,0.08899,0.1230,0.07143,0.04333,0.04333,0.05972,0.05386,0.04450,0.2436, 1.000,0.04333,0.04450,0.04684,0.2494,0.03747
0.04801,0.03981,0.05504,0.04098,0.02225,0.02810,0.04098,0.02693,0.02108,0.02225,0.02693,0.03162,0.03396,0.04333, 1.000,0.06440,0.01874,0.02225,0.03864
0.1007,0.09836,0.1311,0.09719,0.05035,0.05855,0.04918,0.06089,0.07845,0.05738,0.03396,0.02459,0.03279,0.04450,0.06440, 1.000,0.06323,0.02459,0.2096
0.07260,0.07143,0.03981,0.09368,0.09133,0.07963,0.02576,0.03396,0.2810,0.1557,0.01405,0.08314,0.03630,0.04684,0.01874,0.06323, 1.000,0.03513,0.1148
0.1042,0.1452,0.03396,0.1007,0.09953,0.2073,0.05855,0.02810,0.03279,0.08080,0.05972,0.02108,0.3103,0.2494,0.02225,0.02459,0.03513, 1.000,0.04801
0.1019,0.1358,0.09836,0.1440,0.08314,0.08899,0.05386,0.05504,0.1593,0.09251,0.03162,0.03747,0.02693,0.03747,0.03864,0.2096,0.1148,0.04801, 1.000
