Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1173,0.1387,0.5498,0.03405,0.06431,0.01765,0.03909,0.03405,0.01765,0.02396,0.03909,0.02774,0.04540,0.03909,0.1047,0.01765,0.05927,0.07818
0.1173, 1.000,0.03405,0.1274,0.1286,0.3443,0.09458,0.02900,0.03783,0.04161,0.03657,0.02774,0.02270,0.03657,0.06305,0.07566,0.03405,0.06557,0.06683
0.1387,0.03405, 1.000,0.1185,0.01639,0.02144,0.02270,0.1879,0.03657,0.008827,0.02900,0.007566,0.01513,0.02144,0.05422,0.07188,0.01765,0.01892,0.04414
0.5498,0.1274,0.1185, 1.000,0.04792,0.07314,0.02270,0.02648,0.05801,0.01639,0.04288,0.05422,0.02774,0.05044,0.04414,0.09836,0.03783,0.06053,0.1059
0.03405,0.1286,0.01639,0.04792, 1.000,0.2320,0.04792,0.02900,0.03657,0.04288,0.02900,0.02774,0.04540,0.05675,0.003783,0.04666,0.06179,0.05422,0.06936
0.06431,0.3443,0.02144,0.07314,0.2320, 1.000,0.05549,0.01765,0.03026,0.06431,0.03657,0.01513,0.06305,0.04666,0.05170,0.04288,0.03783,0.1375,0.05044
0.01765,0.09458,0.02270,0.02270,0.04792,0.05549, 1.000,0.02396,0.03026,0.02018,0.05422,0.05801,0.03026,0.03405,0.03405,0.03153,0.02648,0.03405,0.03531
0.03909,0.02900,0.1879,0.02648,0.02900,0.01765,0.02396, 1.000,0.05422,0.02648,0.07314,0.01513,0.04918,0.02396,0.08701,0.05801,0.02270,0.02018,0.06683
0.03405,0.03783,0.03657,0.05801,0.03657,0.03026,0.03026,0.05422, 1.000,0.03279,0.03153,0.09710,0.02648,0.02270,0.01765,0.04666,0.1551,0.02774,0.1009
0.01765,0.04161,0.008827,0.01639,0.04288,0.06431,0.02018,0.02648,0.03279, 1.000,0.03531,0.01892,0.08449,0.01009,0.03531,0.02018,0.1223,0.06936,0.03405
0.02396,0.03657,0.02900,0.04288,0.02900,0.03657,0.05422,0.07314,0.03153,0.03531, 1.000,0.07188,0.04288,0.03783,0.01513,0.04035,0.01387,0.03657,0.02396
0.03909,0.02774,0.007566,0.05422,0.02774,0.01513,0.05801,0.01513,0.09710,0.01892,0.07188, 1.000,0.03026,0.03531,0.02144,0.04414,0.05675,0.01892,0.02396
0.02774,0.02270,0.01513,0.02774,0.04540,0.06305,0.03026,0.04918,0.02648,0.08449,0.04288,0.03026, 1.000,0.1059,0.03026,0.01513,0.01513,0.2421,0.02648
0.04540,0.03657,0.02144,0.05044,0.05675,0.04666,0.03405,0.02396,0.02270,0.01009,0.03783,0.03531,0.1059, 1.000,0.05422,0.02774,0.02522,0.1286,0.007566
0.03909,0.06305,0.05422,0.04414,0.003783,0.05170,0.03405,0.08701,0.01765,0.03531,0.01513,0.02144,0.03026,0.05422, 1.000,0.04414,0.02774,0.02900,0.02774
0.1047,0.07566,0.07188,0.09836,0.04666,0.04288,0.03153,0.05801,0.04666,0.02018,0.04035,0.04414,0.01513,0.02774,0.04414, 1.000,0.03531,0.02900,0.09206
0.01765,0.03405,0.01765,0.03783,0.06179,0.03783,0.02648,0.02270,0.1551,0.1223,0.01387,0.05675,0.01513,0.02522,0.02774,0.03531, 1.000,0.01639,0.06179
0.05927,0.06557,0.01892,0.06053,0.05422,0.1375,0.03405,0.02018,0.02774,0.06936,0.03657,0.01892,0.2421,0.1286,0.02900,0.02900,0.01639, 1.000,0.03026
0.07818,0.06683,0.04414,0.1059,0.06936,0.05044,0.03531,0.06683,0.1009,0.03405,0.02396,0.02396,0.02648,0.007566,0.02774,0.09206,0.06179,0.03026, 1.000
