Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2564,0.1026,0.1160,0.06731,0.05192,0.07404,0.05673,0.03718,0.02628,0.03141,0.02532,0.02724,0.05321,0.1035,0.3167,0.04135,0.07179,0.09167
0.2564, 1.000,0.03558,0.1128,0.1532,0.1670,0.05897,0.02692,0.03173,0.02885,0.02276,0.01763,0.02917,0.05000,0.08942,0.1224,0.03910,0.08814,0.07500
0.1026,0.03558, 1.000,0.04359,0.02147,0.02981,0.04135,0.1564,0.03910,0.02532,0.04551,0.02788,0.04006,0.03526,0.1061,0.07564,0.02821,0.03846,0.03654
0.1160,0.1128,0.04359, 1.000,0.2420,0.1596,0.02372,0.02532,0.04231,0.04744,0.02404,0.02372,0.03429,0.03173,0.02981,0.05609,0.06603,0.05769,0.04679
0.06731,0.1532,0.02147,0.2420, 1.000,0.4266,0.02596,0.01923,0.03494,0.05385,0.01378,0.03333,0.04006,0.02404,0.02628,0.04647,0.06442,0.05321,0.06603
0.05192,0.1670,0.02981,0.1596,0.4266, 1.000,0.03109,0.03526,0.02853,0.04199,0.01763,0.01923,0.05128,0.02821,0.02949,0.02564,0.03045,0.06058,0.04647
0.07404,0.05897,0.04135,0.02372,0.02596,0.03109, 1.000,0.04135,0.02276,0.02660,0.02212,0.03494,0.02308,0.1019,0.07147,0.06635,0.01699,0.04135,0.03077
0.05673,0.02692,0.1564,0.02532,0.01923,0.03526,0.04135, 1.000,0.03558,0.02019,0.06378,0.01474,0.06667,0.02244,0.02692,0.05385,0.01378,0.02115,0.03237
0.03718,0.03173,0.03910,0.04231,0.03494,0.02853,0.02276,0.03558, 1.000,0.03397,0.01955,0.05256,0.02564,0.03333,0.02532,0.03814,0.1340,0.02051,0.05321
0.02628,0.02885,0.02532,0.04744,0.05385,0.04199,0.02660,0.02019,0.03397, 1.000,0.03397,0.07147,0.04583,0.02051,0.02821,0.02372,0.07724,0.02051,0.03526
0.03141,0.02276,0.04551,0.02404,0.01378,0.01763,0.02212,0.06378,0.01955,0.03397, 1.000,0.02628,0.05385,0.02981,0.02212,0.04135,0.02564,0.02244,0.02853
0.02532,0.01763,0.02788,0.02372,0.03333,0.01923,0.03494,0.01474,0.05256,0.07147,0.02628, 1.000,0.02756,0.03782,0.04487,0.02692,0.09968,0.01827,0.03814
0.02724,0.02917,0.04006,0.03429,0.04006,0.05128,0.02308,0.06667,0.02564,0.04583,0.05385,0.02756, 1.000,0.05064,0.02981,0.02147,0.02564,0.03846,0.02372
0.05321,0.05000,0.03526,0.03173,0.02404,0.02821,0.1019,0.02244,0.03333,0.02051,0.02981,0.03782,0.05064, 1.000,0.07660,0.02917,0.04103,0.09391,0.02404
0.1035,0.08942,0.1061,0.02981,0.02628,0.02949,0.07147,0.02692,0.02532,0.02821,0.02212,0.04487,0.02981,0.07660, 1.000,0.09295,0.02019,0.04936,0.03013
0.3167,0.1224,0.07564,0.05609,0.04647,0.02564,0.06635,0.05385,0.03814,0.02372,0.04135,0.02692,0.02147,0.02917,0.09295, 1.000,0.03750,0.02917,0.1253
0.04135,0.03910,0.02821,0.06603,0.06442,0.03045,0.01699,0.01378,0.1340,0.07724,0.02564,0.09968,0.02564,0.04103,0.02019,0.03750, 1.000,0.02436,0.07404
0.07179,0.08814,0.03846,0.05769,0.05321,0.06058,0.04135,0.02115,0.02051,0.02051,0.02244,0.01827,0.03846,0.09391,0.04936,0.02917,0.02436, 1.000,0.05128
0.09167,0.07500,0.03654,0.04679,0.06603,0.04647,0.03077,0.03237,0.05321,0.03526,0.02853,0.03814,0.02372,0.02404,0.03013,0.1253,0.07404,0.05128, 1.000
