Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.06261,0.1100,0.1794,0.05922,0.05753,0.05415,0.04907,0.03046,0.05245,0.04738,0.01692,0.05584,0.1117,0.09137,0.1032,0.02030,0.08629,0.05415
0.06261, 1.000,0.09983,0.09814,0.08799,0.1032,0.03723,0.03723,0.02200,0.03723,0.05415,0.02369,0.02876,0.09137,0.08291,0.1134,0.07614,0.08460,0.2030
0.1100,0.09983, 1.000,0.1624,0.05415,0.05753,0.08291,0.07783,0.04399,0.08968,0.06768,0.05415,0.03553,0.06261,0.1134,0.1134,0.05076,0.06937,0.05922
0.1794,0.09814,0.1624, 1.000,0.09475,0.08291,0.05415,0.06430,0.04738,0.07953,0.06937,0.04399,0.05922,0.07276,0.07276,0.1032,0.07614,0.1168,0.1049
0.05922,0.08799,0.05415,0.09475, 1.000,0.1777,0.04399,0.06768,0.02030,0.08629,0.05584,0.06091,0.05922,0.09137,0.04399,0.06768,0.09306,0.1100,0.1591
0.05753,0.1032,0.05753,0.08291,0.1777, 1.000,0.03215,0.03046,0.02538,0.05415,0.07107,0.06430,0.03553,0.08460,0.02369,0.07107,0.09983,0.08291,0.1794
0.05415,0.03723,0.08291,0.05415,0.04399,0.03215, 1.000,0.02707,0.04907,0.06091,0.04907,0.08968,0.04399,0.02538,0.03215,0.06430,0.07276,0.03384,0.04907
0.04907,0.03723,0.07783,0.06430,0.06768,0.03046,0.02707, 1.000,0.03553,0.03892,0.08122,0.05753,0.06430,0.04399,0.06091,0.02369,0.03553,0.04569,0.04399
0.03046,0.02200,0.04399,0.04738,0.02030,0.02538,0.04907,0.03553, 1.000,0.06599,0.02030,0.03723,0.07445,0.03723,0.03723,0.03892,0.03892,0.03892,0.03046
0.05245,0.03723,0.08968,0.07953,0.08629,0.05415,0.06091,0.03892,0.06599, 1.000,0.06599,0.03723,0.02707,0.05922,0.06768,0.06261,0.07614,0.04907,0.05584
0.04738,0.05415,0.06768,0.06937,0.05584,0.07107,0.04907,0.08122,0.02030,0.06599, 1.000,0.06599,0.02200,0.03046,0.05922,0.1049,0.06091,0.07783,0.04907
0.01692,0.02369,0.05415,0.04399,0.06091,0.06430,0.08968,0.05753,0.03723,0.03723,0.06599, 1.000,0.03384,0.02876,0.05245,0.06599,0.09814,0.04061,0.05076
0.05584,0.02876,0.03553,0.05922,0.05922,0.03553,0.04399,0.06430,0.07445,0.02707,0.02200,0.03384, 1.000,0.03892,0.02707,0.03384,0.04569,0.04907,0.06261
0.1117,0.09137,0.06261,0.07276,0.09137,0.08460,0.02538,0.04399,0.03723,0.05922,0.03046,0.02876,0.03892, 1.000,0.03723,0.03384,0.03892,0.1032,0.06261
0.09137,0.08291,0.1134,0.07276,0.04399,0.02369,0.03215,0.06091,0.03723,0.06768,0.05922,0.05245,0.02707,0.03723, 1.000,0.05922,0.03553,0.02200,0.05415
0.1032,0.1134,0.1134,0.1032,0.06768,0.07107,0.06430,0.02369,0.03892,0.06261,0.1049,0.06599,0.03384,0.03384,0.05922, 1.000,0.05922,0.04569,0.09814
0.02030,0.07614,0.05076,0.07614,0.09306,0.09983,0.07276,0.03553,0.03892,0.07614,0.06091,0.09814,0.04569,0.03892,0.03553,0.05922, 1.000,0.04907,0.1777
0.08629,0.08460,0.06937,0.1168,0.1100,0.08291,0.03384,0.04569,0.03892,0.04907,0.07783,0.04061,0.04907,0.1032,0.02200,0.04569,0.04907, 1.000,0.1252
0.05415,0.2030,0.05922,0.1049,0.1591,0.1794,0.04907,0.04399,0.03046,0.05584,0.04907,0.05076,0.06261,0.06261,0.05415,0.09814,0.1777,0.1252, 1.000
