Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.08547,0.1316,0.2946,0.09972,0.05926,0.03248,0.02393,0.02564,0.02165,0.02678,0.02564,0.03419,0.06952,0.1510,0.1048,0.04046,0.07920,0.07464
0.08547, 1.000,0.02621,0.04444,0.07635,0.1533,0.1624,0.02051,0.02279,0.01766,0.01823,0.02564,0.04786,0.06439,0.08376,0.06040,0.03647,0.05641,0.05128
0.1316,0.02621, 1.000,0.07009,0.02450,0.02621,0.02222,0.07407,0.02849,0.03191,0.03875,0.02678,0.02792,0.04274,0.05869,0.06325,0.03191,0.03362,0.04444
0.2946,0.04444,0.07009, 1.000,0.1402,0.03875,0.02450,0.02222,0.03476,0.02963,0.02165,0.03362,0.03533,0.03533,0.06496,0.07350,0.05299,0.06781,0.06610
0.09972,0.07635,0.02450,0.1402, 1.000,0.1960,0.02963,0.03191,0.02222,0.04786,0.02165,0.04160,0.04729,0.03647,0.04444,0.04330,0.05584,0.07407,0.08433
0.05926,0.1533,0.02621,0.03875,0.1960, 1.000,0.05812,0.03533,0.02621,0.02507,0.02678,0.02678,0.05755,0.07692,0.04957,0.03305,0.03305,0.07521,0.06553
0.03248,0.1624,0.02222,0.02450,0.02963,0.05812, 1.000,0.02621,0.03647,0.02507,0.02393,0.07920,0.02792,0.06724,0.05413,0.03305,0.01766,0.04444,0.03761
0.02393,0.02051,0.07407,0.02222,0.03191,0.03533,0.02621, 1.000,0.05242,0.03761,0.07350,0.03761,0.05755,0.02849,0.03248,0.04786,0.02792,0.01994,0.03590
0.02564,0.02279,0.02849,0.03476,0.02222,0.02621,0.03647,0.05242, 1.000,0.02963,0.03761,0.06439,0.02108,0.04387,0.01595,0.02507,0.03875,0.02963,0.02564
0.02165,0.01766,0.03191,0.02963,0.04786,0.02507,0.02507,0.03761,0.02963, 1.000,0.03362,0.03476,0.03305,0.01652,0.03305,0.02849,0.02621,0.02678,0.03134
0.02678,0.01823,0.03875,0.02165,0.02165,0.02678,0.02393,0.07350,0.03761,0.03362, 1.000,0.05755,0.03761,0.02849,0.02621,0.04103,0.02051,0.02108,0.02336
0.02564,0.02564,0.02678,0.03362,0.04160,0.02678,0.07920,0.03761,0.06439,0.03476,0.05755, 1.000,0.04274,0.03305,0.02051,0.03419,0.03875,0.02963,0.02450
0.03419,0.04786,0.02792,0.03533,0.04729,0.05755,0.02792,0.05755,0.02108,0.03305,0.03761,0.04274, 1.000,0.09288,0.02621,0.02222,0.02336,0.09117,0.03077
0.06952,0.06439,0.04274,0.03533,0.03647,0.07692,0.06724,0.02849,0.04387,0.01652,0.02849,0.03305,0.09288, 1.000,0.08205,0.01880,0.02450,0.07749,0.03818
0.1510,0.08376,0.05869,0.06496,0.04444,0.04957,0.05413,0.03248,0.01595,0.03305,0.02621,0.02051,0.02621,0.08205, 1.000,0.09060,0.02279,0.06496,0.04615
0.1048,0.06040,0.06325,0.07350,0.04330,0.03305,0.03305,0.04786,0.02507,0.02849,0.04103,0.03419,0.02222,0.01880,0.09060, 1.000,0.07692,0.02279,0.08661
0.04046,0.03647,0.03191,0.05299,0.05584,0.03305,0.01766,0.02792,0.03875,0.02621,0.02051,0.03875,0.02336,0.02450,0.02279,0.07692, 1.000,0.02051,0.07009
0.07920,0.05641,0.03362,0.06781,0.07407,0.07521,0.04444,0.01994,0.02963,0.02678,0.02108,0.02963,0.09117,0.07749,0.06496,0.02279,0.02051, 1.000,0.07977
0.07464,0.05128,0.04444,0.06610,0.08433,0.06553,0.03761,0.03590,0.02564,0.03134,0.02336,0.02450,0.03077,0.03818,0.04615,0.08661,0.07009,0.07977, 1.000
