Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3605,0.4254,0.3940,0.1793,0.1826,0.2334,0.06488,0.05418,0.02408,0.02609,0.02475,0.05819,0.07492,0.2401,0.3064,0.1017,0.1411,0.1485
0.3605, 1.000,0.1819,0.3846,0.3946,0.4736,0.2555,0.04816,0.05819,0.04348,0.02943,0.04013,0.08763,0.1151,0.1431,0.2033,0.1278,0.1719,0.1659
0.4254,0.1819, 1.000,0.2321,0.1157,0.1023,0.1632,0.1070,0.06221,0.02140,0.03077,0.03278,0.04348,0.05217,0.1960,0.2201,0.1003,0.09565,0.1124
0.3940,0.3846,0.2321, 1.000,0.4301,0.2916,0.1465,0.05753,0.08495,0.04615,0.03278,0.02676,0.06890,0.05284,0.1472,0.2589,0.1445,0.1779,0.2033
0.1793,0.3946,0.1157,0.4301, 1.000,0.5104,0.1164,0.04749,0.06823,0.07692,0.04214,0.03211,0.07759,0.08963,0.09431,0.1706,0.1298,0.1893,0.2207
0.1826,0.4736,0.1023,0.2916,0.5104, 1.000,0.1652,0.04080,0.04816,0.06555,0.04214,0.03077,0.09431,0.1030,0.1043,0.1251,0.1090,0.1806,0.1920
0.2334,0.2555,0.1632,0.1465,0.1164,0.1652, 1.000,0.03077,0.03746,0.02809,0.02341,0.04147,0.05552,0.1271,0.1298,0.1278,0.07425,0.09833,0.1064
0.06488,0.04816,0.1070,0.05753,0.04749,0.04080,0.03077, 1.000,0.05953,0.02408,0.03545,0.02809,0.05284,0.03545,0.09097,0.09431,0.03946,0.04348,0.04348
0.05418,0.05819,0.06221,0.08495,0.06823,0.04816,0.03746,0.05953, 1.000,0.06355,0.02809,0.03880,0.03077,0.04147,0.03679,0.06689,0.09833,0.05418,0.1110
0.02408,0.04348,0.02140,0.04615,0.07692,0.06555,0.02809,0.02408,0.06355, 1.000,0.06622,0.03545,0.04548,0.02274,0.02609,0.02274,0.06756,0.05284,0.07023
0.02609,0.02943,0.03077,0.03278,0.04214,0.04214,0.02341,0.03545,0.02809,0.06622, 1.000,0.04548,0.05753,0.02542,0.02007,0.01806,0.04013,0.02943,0.02207
0.02475,0.04013,0.03278,0.02676,0.03211,0.03077,0.04147,0.02809,0.03880,0.03545,0.04548, 1.000,0.03545,0.06154,0.02274,0.02676,0.05284,0.02676,0.02742
0.05819,0.08763,0.04348,0.06890,0.07759,0.09431,0.05552,0.05284,0.03077,0.04548,0.05753,0.03545, 1.000,0.08829,0.04013,0.03344,0.03144,0.1023,0.03813
0.07492,0.1151,0.05217,0.05284,0.08963,0.1030,0.1271,0.03545,0.04147,0.02274,0.02542,0.06154,0.08829, 1.000,0.08428,0.05284,0.03144,0.07291,0.04816
0.2401,0.1431,0.1960,0.1472,0.09431,0.1043,0.1298,0.09097,0.03679,0.02609,0.02007,0.02274,0.04013,0.08428, 1.000,0.1498,0.05084,0.09298,0.1030
0.3064,0.2033,0.2201,0.2589,0.1706,0.1251,0.1278,0.09431,0.06689,0.02274,0.01806,0.02676,0.03344,0.05284,0.1498, 1.000,0.1712,0.07960,0.1973
0.1017,0.1278,0.1003,0.1445,0.1298,0.1090,0.07425,0.03946,0.09833,0.06756,0.04013,0.05284,0.03144,0.03144,0.05084,0.1712, 1.000,0.03880,0.1452
0.1411,0.1719,0.09565,0.1779,0.1893,0.1806,0.09833,0.04348,0.05418,0.05284,0.02943,0.02676,0.1023,0.07291,0.09298,0.07960,0.03880, 1.000,0.1753
0.1485,0.1659,0.1124,0.2033,0.2207,0.1920,0.1064,0.04348,0.1110,0.07023,0.02207,0.02742,0.03813,0.04816,0.1030,0.1973,0.1452,0.1753, 1.000
