Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1999,0.1384,0.3079,0.1556,0.1002,0.1207,0.08195,0.03322,0.02935,0.03987,0.02769,0.03544,0.09801,0.1290,0.1728,0.08583,0.1268,0.1517
0.1999, 1.000,0.1329,0.1589,0.08859,0.2193,0.1362,0.08749,0.03267,0.03267,0.04374,0.03433,0.02492,0.1185,0.2309,0.1462,0.08693,0.1334,0.08140
0.1384,0.1329, 1.000,0.1312,0.05592,0.06368,0.1357,0.3893,0.02769,0.03378,0.04983,0.02713,0.05371,0.06866,0.2176,0.1440,0.06534,0.09579,0.07530
0.3079,0.1589,0.1312, 1.000,0.2198,0.1130,0.09801,0.1052,0.04042,0.03433,0.03599,0.02602,0.03045,0.07641,0.1279,0.2071,0.09081,0.1495,0.1739
0.1556,0.08859,0.05592,0.2198, 1.000,0.1296,0.07254,0.04762,0.03378,0.02879,0.02935,0.02547,0.03045,0.06202,0.07032,0.1008,0.08361,0.1008,0.1788
0.1002,0.2193,0.06368,0.1130,0.1296, 1.000,0.1063,0.05703,0.02990,0.02602,0.04762,0.01717,0.03378,0.1168,0.1163,0.09302,0.07586,0.1628,0.1002
0.1207,0.1362,0.1357,0.09801,0.07254,0.1063, 1.000,0.09302,0.03433,0.03488,0.03322,0.05150,0.02381,0.1008,0.1573,0.1179,0.05316,0.09690,0.1041
0.08195,0.08749,0.3893,0.1052,0.04762,0.05703,0.09302, 1.000,0.03433,0.03045,0.05205,0.02713,0.05316,0.05094,0.1689,0.1224,0.04153,0.07530,0.06645
0.03322,0.03267,0.02769,0.04042,0.03378,0.02990,0.03433,0.03433, 1.000,0.03987,0.03544,0.02326,0.02215,0.02159,0.03710,0.03876,0.05150,0.03267,0.05094
0.02935,0.03267,0.03378,0.03433,0.02879,0.02602,0.03488,0.03045,0.03987, 1.000,0.07863,0.04208,0.03101,0.02879,0.02713,0.02326,0.03931,0.02492,0.02270
0.03987,0.04374,0.04983,0.03599,0.02935,0.04762,0.03322,0.05205,0.03544,0.07863, 1.000,0.02547,0.04430,0.03101,0.03433,0.04707,0.03710,0.04153,0.03156
0.02769,0.03433,0.02713,0.02602,0.02547,0.01717,0.05150,0.02713,0.02326,0.04208,0.02547, 1.000,0.02049,0.04374,0.03931,0.04042,0.05150,0.02990,0.02935
0.03544,0.02492,0.05371,0.03045,0.03045,0.03378,0.02381,0.05316,0.02215,0.03101,0.04430,0.02049, 1.000,0.03821,0.03156,0.01993,0.03488,0.04208,0.02769
0.09801,0.1185,0.06866,0.07641,0.06202,0.1168,0.1008,0.05094,0.02159,0.02879,0.03101,0.04374,0.03821, 1.000,0.1091,0.04097,0.03599,0.1827,0.04596
0.1290,0.2309,0.2176,0.1279,0.07032,0.1163,0.1573,0.1689,0.03710,0.02713,0.03433,0.03931,0.03156,0.1091, 1.000,0.1058,0.05371,0.1346,0.07254
0.1728,0.1462,0.1440,0.2071,0.1008,0.09302,0.1179,0.1224,0.03876,0.02326,0.04707,0.04042,0.01993,0.04097,0.1058, 1.000,0.1229,0.06202,0.2226
0.08583,0.08693,0.06534,0.09081,0.08361,0.07586,0.05316,0.04153,0.05150,0.03931,0.03710,0.05150,0.03488,0.03599,0.05371,0.1229, 1.000,0.05537,0.09468
0.1268,0.1334,0.09579,0.1495,0.1008,0.1628,0.09690,0.07530,0.03267,0.02492,0.04153,0.02990,0.04208,0.1827,0.1346,0.06202,0.05537, 1.000,0.09468
0.1517,0.08140,0.07530,0.1739,0.1788,0.1002,0.1041,0.06645,0.05094,0.02270,0.03156,0.02935,0.02769,0.04596,0.07254,0.2226,0.09468,0.09468, 1.000
