Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1672,0.2776,0.2500,0.1190,0.07759,0.02069,0.03276,0.02414,0.01724,0.07586,0.02069,0.05345,0.05517,0.1034,0.1879,0.1552,0.05862,0.1931
0.1672, 1.000,0.08793,0.04310,0.1086,0.1845,0.1017,0.01207,0.04655,0.02414,0.04483,0.02241,0.08448,0.1276,0.2052,0.08103,0.02414,0.1207,0.05517
0.2776,0.08793, 1.000,0.1517,0.06724,0.04310,0.02069,0.05517,0.01207,0.03621,0.09310,0.02586,0.03448,0.03621,0.06207,0.1638,0.07759,0.03966,0.08448
0.2500,0.04310,0.1517, 1.000,0.1517,0.03793,0.03103,0.03103,0.07414,0.02414,0.02414,0.04483,0.02759,0.03276,0.04828,0.09828,0.1862,0.08103,0.2328
0.1190,0.1086,0.06724,0.1517, 1.000,0.2534,0.03103,0.05690,0.001724,0.05000,0.02931,0.04310,0.09655,0.05690,0.04138,0.06379,0.09138,0.09655,0.1603
0.07759,0.1845,0.04310,0.03793,0.2534, 1.000,0.09655,0.02414,0.01379,0.04310,0.03966,0.008621,0.1603,0.1466,0.1034,0.08103,0.04310,0.1621,0.09655
0.02069,0.1017,0.02069,0.03103,0.03103,0.09655, 1.000,0.03793,0.08103,0.07414,0.05517,0.1000,0.1155,0.2138,0.1034,0.02759,0.02069,0.09310,0.02931
0.03276,0.01207,0.05517,0.03103,0.05690,0.02414,0.03793, 1.000,0.02069,0.1672,0.08793,0.04828,0.03966,0.06034,0.05000,0.1052,0.02759,0.07586,0.04828
0.02414,0.04655,0.01207,0.07414,0.001724,0.01379,0.08103,0.02069, 1.000,0.05345,0.008621,0.08621,0.03276,0.02931,0.02931,0.01034,0.08103,0.04310,0.03621
0.01724,0.02414,0.03621,0.02414,0.05000,0.04310,0.07414,0.1672,0.05345, 1.000,0.05690,0.04655,0.05000,0.06897,0.01897,0.06724,0.03103,0.03276,0.04828
0.07586,0.04483,0.09310,0.02414,0.02931,0.03966,0.05517,0.08793,0.008621,0.05690, 1.000,0.04655,0.03621,0.05517,0.05345,0.08276,0.01724,0.006897,0.02759
0.02069,0.02241,0.02586,0.04483,0.04310,0.008621,0.1000,0.04828,0.08621,0.04655,0.04655, 1.000,0.01034,0.02931,0.01724,0.008621,0.1034,0.01552,0.03621
0.05345,0.08448,0.03448,0.02759,0.09655,0.1603,0.1155,0.03966,0.03276,0.05000,0.03621,0.01034, 1.000,0.2310,0.04310,0.04483,0.003448,0.3190,0.04828
0.05517,0.1276,0.03621,0.03276,0.05690,0.1466,0.2138,0.06034,0.02931,0.06897,0.05517,0.02931,0.2310, 1.000,0.1103,0.06207,0.01379,0.3052,0.05862
0.1034,0.2052,0.06207,0.04828,0.04138,0.1034,0.1034,0.05000,0.02931,0.01897,0.05345,0.01724,0.04310,0.1103, 1.000,0.07586,0.01724,0.1155,0.07069
0.1879,0.08103,0.1638,0.09828,0.06379,0.08103,0.02759,0.1052,0.01034,0.06724,0.08276,0.008621,0.04483,0.06207,0.07586, 1.000,0.05172,0.05690,0.1552
0.1552,0.02414,0.07759,0.1862,0.09138,0.04310,0.02069,0.02759,0.08103,0.03103,0.01724,0.1034,0.003448,0.01379,0.01724,0.05172, 1.000,0.01724,0.09138
0.05862,0.1207,0.03966,0.08103,0.09655,0.1621,0.09310,0.07586,0.04310,0.03276,0.006897,0.01552,0.3190,0.3052,0.1155,0.05690,0.01724, 1.000,0.1000
0.1931,0.05517,0.08448,0.2328,0.1603,0.09655,0.02931,0.04828,0.03621,0.04828,0.02759,0.03621,0.04828,0.05862,0.07069,0.1552,0.09138,0.1000, 1.000
