Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1058,0.09042,0.3020,0.2107,0.07143,0.06148,0.01627,0.04521,0.04159,0.01718,0.01989,0.06148,0.06420,0.04611,0.09403,0.04340,0.06600,0.1112
0.1058, 1.000,0.05335,0.08047,0.05696,0.2441,0.09132,0.02984,0.03345,0.05063,0.03165,0.03617,0.04250,0.07685,0.07052,0.06962,0.05154,0.08861,0.07776
0.09042,0.05335, 1.000,0.08680,0.04702,0.03436,0.03978,0.07414,0.03978,0.01356,0.04430,0.02712,0.04159,0.03888,0.04611,0.07233,0.03255,0.04069,0.05154
0.3020,0.08047,0.08680, 1.000,0.2333,0.07414,0.04882,0.02893,0.07595,0.04973,0.02532,0.05425,0.07685,0.05515,0.03888,0.09494,0.08590,0.06148,0.1157
0.2107,0.05696,0.04702,0.2333, 1.000,0.07233,0.03707,0.02984,0.05425,0.03074,0.01899,0.02893,0.1049,0.06239,0.02532,0.05696,0.04973,0.08409,0.1212
0.07143,0.2441,0.03436,0.07414,0.07233, 1.000,0.08137,0.03255,0.03797,0.08951,0.04973,0.02532,0.06239,0.1058,0.05425,0.04792,0.04340,0.1022,0.09313
0.06148,0.09132,0.03978,0.04882,0.03707,0.08137, 1.000,0.01085,0.02351,0.02441,0.02351,0.06329,0.02532,0.06329,0.05877,0.04882,0.03165,0.05063,0.05244
0.01627,0.02984,0.07414,0.02893,0.02984,0.03255,0.01085, 1.000,0.04702,0.02803,0.06600,0.03255,0.06239,0.03436,0.03255,0.05063,0.02803,0.02984,0.03074
0.04521,0.03345,0.03978,0.07595,0.05425,0.03797,0.02351,0.04702, 1.000,0.05787,0.03165,0.07414,0.03345,0.03797,0.04159,0.05787,0.06691,0.03436,0.04973
0.04159,0.05063,0.01356,0.04973,0.03074,0.08951,0.02441,0.02803,0.05787, 1.000,0.05696,0.02984,0.05063,0.04069,0.04792,0.03436,0.04882,0.05335,0.05696
0.01718,0.03165,0.04430,0.02532,0.01899,0.04973,0.02351,0.06600,0.03165,0.05696, 1.000,0.05606,0.05154,0.04521,0.02984,0.04250,0.01989,0.04882,0.02260
0.01989,0.03617,0.02712,0.05425,0.02893,0.02532,0.06329,0.03255,0.07414,0.02984,0.05606, 1.000,0.03707,0.03978,0.02080,0.04882,0.07776,0.02441,0.03074
0.06148,0.04250,0.04159,0.07685,0.1049,0.06239,0.02532,0.06239,0.03345,0.05063,0.05154,0.03707, 1.000,0.1320,0.03888,0.03074,0.03345,0.2043,0.04159
0.06420,0.07685,0.03888,0.05515,0.06239,0.1058,0.06329,0.03436,0.03797,0.04069,0.04521,0.03978,0.1320, 1.000,0.03074,0.03255,0.03255,0.1899,0.04159
0.04611,0.07052,0.04611,0.03888,0.02532,0.05425,0.05877,0.03255,0.04159,0.04792,0.02984,0.02080,0.03888,0.03074, 1.000,0.04250,0.03165,0.03797,0.03345
0.09403,0.06962,0.07233,0.09494,0.05696,0.04792,0.04882,0.05063,0.05787,0.03436,0.04250,0.04882,0.03074,0.03255,0.04250, 1.000,0.08590,0.04521,0.1374
0.04340,0.05154,0.03255,0.08590,0.04973,0.04340,0.03165,0.02803,0.06691,0.04882,0.01989,0.07776,0.03345,0.03255,0.03165,0.08590, 1.000,0.02260,0.09042
0.06600,0.08861,0.04069,0.06148,0.08409,0.1022,0.05063,0.02984,0.03436,0.05335,0.04882,0.02441,0.2043,0.1899,0.03797,0.04521,0.02260, 1.000,0.07052
0.1112,0.07776,0.05154,0.1157,0.1212,0.09313,0.05244,0.03074,0.04973,0.05696,0.02260,0.03074,0.04159,0.04159,0.03345,0.1374,0.09042,0.07052, 1.000
