Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1150,0.2003,0.3006,0.1192,0.06333,0.04667,0.02833,0.02611,0.02417,0.02556,0.02278,0.03583,0.05194,0.07139,0.07611,0.04778,0.05639,0.05194
0.1150, 1.000,0.04806,0.06028,0.1164,0.3325,0.2728,0.02611,0.02111,0.03083,0.02361,0.02389,0.03917,0.07028,0.06889,0.06500,0.03972,0.07028,0.05472
0.2003,0.04806, 1.000,0.1283,0.04139,0.02556,0.02556,0.06972,0.03278,0.02222,0.03222,0.02278,0.02472,0.02722,0.05667,0.07944,0.04417,0.03972,0.04306
0.3006,0.06028,0.1283, 1.000,0.1714,0.04806,0.02861,0.03139,0.03306,0.03556,0.02278,0.02333,0.04083,0.03250,0.04417,0.07556,0.07083,0.05278,0.07639
0.1192,0.1164,0.04139,0.1714, 1.000,0.1539,0.04528,0.02028,0.02722,0.07028,0.02833,0.02583,0.05639,0.04250,0.03528,0.03750,0.06333,0.09111,0.08306
0.06333,0.3325,0.02556,0.04806,0.1539, 1.000,0.1469,0.02806,0.01944,0.03389,0.03667,0.02000,0.05389,0.06472,0.04167,0.03472,0.03806,0.07500,0.05694
0.04667,0.2728,0.02556,0.02861,0.04528,0.1469, 1.000,0.02639,0.02722,0.02417,0.02889,0.05000,0.03861,0.06194,0.04806,0.03500,0.02083,0.05111,0.03333
0.02833,0.02611,0.06972,0.03139,0.02028,0.02806,0.02639, 1.000,0.04861,0.02333,0.04889,0.03278,0.04972,0.03111,0.03167,0.05444,0.03833,0.02556,0.03389
0.02611,0.02111,0.03278,0.03306,0.02722,0.01944,0.02722,0.04861, 1.000,0.02972,0.02583,0.04639,0.02917,0.03917,0.02444,0.03333,0.05806,0.02639,0.03917
0.02417,0.03083,0.02222,0.03556,0.07028,0.03389,0.02417,0.02333,0.02972, 1.000,0.03889,0.02889,0.04472,0.02639,0.03556,0.02389,0.04083,0.04417,0.03861
0.02556,0.02361,0.03222,0.02278,0.02833,0.03667,0.02889,0.04889,0.02583,0.03889, 1.000,0.04111,0.05889,0.03167,0.02333,0.04528,0.02639,0.03722,0.02500
0.02278,0.02389,0.02278,0.02333,0.02583,0.02000,0.05000,0.03278,0.04639,0.02889,0.04111, 1.000,0.03583,0.04167,0.02056,0.02389,0.04056,0.02556,0.01889
0.03583,0.03917,0.02472,0.04083,0.05639,0.05389,0.03861,0.04972,0.02917,0.04472,0.05889,0.03583, 1.000,0.1033,0.02500,0.02472,0.02167,0.1131,0.02500
0.05194,0.07028,0.02722,0.03250,0.04250,0.06472,0.06194,0.03111,0.03917,0.02639,0.03167,0.04167,0.1033, 1.000,0.04750,0.02444,0.02444,0.06528,0.02194
0.07139,0.06889,0.05667,0.04417,0.03528,0.04167,0.04806,0.03167,0.02444,0.03556,0.02333,0.02056,0.02500,0.04750, 1.000,0.07389,0.02056,0.02472,0.02194
0.07611,0.06500,0.07944,0.07556,0.03750,0.03472,0.03500,0.05444,0.03333,0.02389,0.04528,0.02389,0.02472,0.02444,0.07389, 1.000,0.08306,0.02556,0.05306
0.04778,0.03972,0.04417,0.07083,0.06333,0.03806,0.02083,0.03833,0.05806,0.04083,0.02639,0.04056,0.02167,0.02444,0.02056,0.08306, 1.000,0.02778,0.1561
0.05639,0.07028,0.03972,0.05278,0.09111,0.07500,0.05111,0.02556,0.02639,0.04417,0.03722,0.02556,0.1131,0.06528,0.02472,0.02556,0.02778, 1.000,0.05611
0.05194,0.05472,0.04306,0.07639,0.08306,0.05694,0.03333,0.03389,0.03917,0.03861,0.02500,0.01889,0.02500,0.02194,0.02194,0.05306,0.1561,0.05611, 1.000
