Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.05031,0.1270,0.07547,0.05912,0.02893,0.04403,0.03019,0.01887,0.01761,0.02516,0.02013,0.02767,0.05157,0.05786,0.06918,0.03774,0.02642,0.04528
0.05031, 1.000,0.03774,0.09182,0.1182,0.03270,0.08176,0.02264,0.02516,0.02893,0.01887,0.02138,0.02516,0.02893,0.04780,0.03774,0.03522,0.03270,0.04906
0.1270,0.03774, 1.000,0.1384,0.05535,0.03396,0.03774,0.1484,0.04528,0.01887,0.04277,0.01887,0.02642,0.03019,0.07044,0.09057,0.05535,0.05283,0.06667
0.07547,0.09182,0.1384, 1.000,0.2868,0.03522,0.02390,0.03899,0.06541,0.03774,0.02767,0.02264,0.02642,0.02642,0.03019,0.05660,0.06415,0.06541,0.06164
0.05912,0.1182,0.05535,0.2868, 1.000,0.05912,0.02767,0.02767,0.05912,0.08553,0.01509,0.02893,0.03522,0.02642,0.02264,0.04151,0.08176,0.08553,0.1082
0.02893,0.03270,0.03396,0.03522,0.05912, 1.000,0.06667,0.02138,0.04277,0.03019,0.03522,0.03648,0.03019,0.02138,0.03145,0.03270,0.04528,0.04025,0.08805
0.04403,0.08176,0.03774,0.02390,0.02767,0.06667, 1.000,0.02516,0.02516,0.02390,0.02642,0.06541,0.04780,0.05786,0.05031,0.03774,0.02390,0.04025,0.02767
0.03019,0.02264,0.1484,0.03899,0.02767,0.02138,0.02516, 1.000,0.04151,0.02390,0.1006,0.03774,0.06164,0.01761,0.04654,0.05535,0.04151,0.02390,0.03145
0.01887,0.02516,0.04528,0.06541,0.05912,0.04277,0.02516,0.04151, 1.000,0.02767,0.03396,0.07925,0.02013,0.04151,0.01887,0.05660,0.08553,0.03396,0.05157
0.01761,0.02893,0.01887,0.03774,0.08553,0.03019,0.02390,0.02390,0.02767, 1.000,0.06415,0.03145,0.05535,0.02013,0.03145,0.02138,0.04025,0.04654,0.05786
0.02516,0.01887,0.04277,0.02767,0.01509,0.03522,0.02642,0.1006,0.03396,0.06415, 1.000,0.03396,0.07296,0.03774,0.05660,0.06541,0.01509,0.02642,0.03019
0.02013,0.02138,0.01887,0.02264,0.02893,0.03648,0.06541,0.03774,0.07925,0.03145,0.03396, 1.000,0.03522,0.05283,0.02767,0.02767,0.03522,0.01635,0.02516
0.02767,0.02516,0.02642,0.02642,0.03522,0.03019,0.04780,0.06164,0.02013,0.05535,0.07296,0.03522, 1.000,0.07673,0.03145,0.02138,0.01006,0.1069,0.02138
0.05157,0.02893,0.03019,0.02642,0.02642,0.02138,0.05786,0.01761,0.04151,0.02013,0.03774,0.05283,0.07673, 1.000,0.02893,0.02767,0.02013,0.04025,0.02767
0.05786,0.04780,0.07044,0.03019,0.02264,0.03145,0.05031,0.04654,0.01887,0.03145,0.05660,0.02767,0.03145,0.02893, 1.000,0.06667,0.04151,0.02893,0.03019
0.06918,0.03774,0.09057,0.05660,0.04151,0.03270,0.03774,0.05535,0.05660,0.02138,0.06541,0.02767,0.02138,0.02767,0.06667, 1.000,0.07925,0.02390,0.04654
0.03774,0.03522,0.05535,0.06415,0.08176,0.04528,0.02390,0.04151,0.08553,0.04025,0.01509,0.03522,0.01006,0.02013,0.04151,0.07925, 1.000,0.03270,0.1233
0.02642,0.03270,0.05283,0.06541,0.08553,0.04025,0.04025,0.02390,0.03396,0.04654,0.02642,0.01635,0.1069,0.04025,0.02893,0.02390,0.03270, 1.000,0.05660
0.04528,0.04906,0.06667,0.06164,0.1082,0.08805,0.02767,0.03145,0.05157,0.05786,0.03019,0.02516,0.02138,0.02767,0.03019,0.04654,0.1233,0.05660, 1.000
