Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09114,0.02025,0.09114,0.03797,0.04557,0.002532,0.02278,0.01013,0.01519, 0.000,0.02278,0.02532,0.07089,0.03038,0.02532,0.06582,0.07848,0.05063
0.09114, 1.000,0.007595,0.03797,0.05823,0.02785,0.03291,0.03797,0.03038,0.04051,0.03291,0.03544,0.01013,0.06835,0.06076,0.02278,0.07595,0.06835,0.1190
0.02025,0.007595, 1.000,0.01013,0.01519,0.02278,0.04304,0.05063,0.01266,0.02785,0.02532,0.03544,0.03038,0.04557,0.09114,0.03038,0.01772,0.02532,0.04304
0.09114,0.03797,0.01013, 1.000,0.1215,0.04557,0.02532,0.005063,0.04051,0.05316,0.02278,0.07595,0.04810,0.01519,0.005063,0.1291,0.05316,0.04557,0.1266
0.03797,0.05823,0.01519,0.1215, 1.000,0.06329,0.04557,0.03797,0.06835,0.06076,0.03544,0.04557,0.05570,0.03544,0.05316,0.1063,0.08101,0.08354,0.3013
0.04557,0.02785,0.02278,0.04557,0.06329, 1.000,0.05823,0.02532,0.02278,0.02532,0.05316,0.02278,0.06835,0.07342,0.05570,0.05823,0.05570,0.1190,0.03544
0.002532,0.03291,0.04304,0.02532,0.04557,0.05823, 1.000,0.05570,0.02532,0.02025,0.007595,0.02025,0.04810,0.04304,0.04051,0.04557,0.01772,0.01772,0.04557
0.02278,0.03797,0.05063,0.005063,0.03797,0.02532,0.05570, 1.000,0.01266,0.007595,0.03291,0.01013,0.02532,0.05316,0.02278,0.005063,0.01013,0.03291,0.01519
0.01013,0.03038,0.01266,0.04051,0.06835,0.02278,0.02532,0.01266, 1.000,0.01013,0.03038,0.01013,0.03797,0.02532,0.06076,0.06329,0.03797,0.03797,0.08861
0.01519,0.04051,0.02785,0.05316,0.06076,0.02532,0.02025,0.007595,0.01013, 1.000,0.08354,0.06076,0.04810,0.03544,0.06835,0.04051,0.03544,0.01772,0.03797
 0.000,0.03291,0.02532,0.02278,0.03544,0.05316,0.007595,0.03291,0.03038,0.08354, 1.000,0.02532,0.01772,0.03291,0.09367,0.1114,0.05063,0.03544,0.06329
0.02278,0.03544,0.03544,0.07595,0.04557,0.02278,0.02025,0.01013,0.01013,0.06076,0.02532, 1.000,0.02025,0.02785,0.005063,0.05316,0.1367,0.06835,0.04051
0.02532,0.01013,0.03038,0.04810,0.05570,0.06835,0.04810,0.02532,0.03797,0.04810,0.01772,0.02025, 1.000,0.07848,0.05570,0.02278,0.02532,0.09114,0.03038
0.07089,0.06835,0.04557,0.01519,0.03544,0.07342,0.04304,0.05316,0.02532,0.03544,0.03291,0.02785,0.07848, 1.000,0.02025,0.09367,0.07089,0.1443,0.04557
0.03038,0.06076,0.09114,0.005063,0.05316,0.05570,0.04051,0.02278,0.06076,0.06835,0.09367,0.005063,0.05570,0.02025, 1.000,0.07848,0.02785,0.07342,0.03038
0.02532,0.02278,0.03038,0.1291,0.1063,0.05823,0.04557,0.005063,0.06329,0.04051,0.1114,0.05316,0.02278,0.09367,0.07848, 1.000,0.04810,0.06329,0.1418
0.06582,0.07595,0.01772,0.05316,0.08101,0.05570,0.01772,0.01013,0.03797,0.03544,0.05063,0.1367,0.02532,0.07089,0.02785,0.04810, 1.000,0.05570,0.06582
0.07848,0.06835,0.02532,0.04557,0.08354,0.1190,0.01772,0.03291,0.03797,0.01772,0.03544,0.06835,0.09114,0.1443,0.07342,0.06329,0.05570, 1.000,0.04557
0.05063,0.1190,0.04304,0.1266,0.3013,0.03544,0.04557,0.01519,0.08861,0.03797,0.06329,0.04051,0.03038,0.04557,0.03038,0.1418,0.06582,0.04557, 1.000
