Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2868,0.4604,0.4128,0.2216,0.07619,0.07985,0.09194,0.09194,0.01941,0.04725,0.03663,0.02527,0.03516,0.1322,0.3495,0.1271,0.03223,0.1264
0.2868, 1.000,0.1586,0.1425,0.1201,0.1429,0.2029,0.05897,0.04505,0.01685,0.03260,0.03480,0.02894,0.04286,0.2480,0.2300,0.07253,0.02821,0.09817
0.4604,0.1586, 1.000,0.3066,0.1150,0.04249,0.05788,0.1927,0.1000,0.01795,0.06960,0.03736,0.03810,0.02601,0.1125,0.3777,0.1319,0.02527,0.09963
0.4128,0.1425,0.3066, 1.000,0.2813,0.06740,0.04542,0.07949,0.1615,0.02271,0.03297,0.03883,0.02564,0.03150,0.08278,0.2088,0.1689,0.04505,0.1297
0.2216,0.1201,0.1150,0.2813, 1.000,0.1630,0.04872,0.03810,0.08425,0.03114,0.02784,0.02967,0.02088,0.03260,0.06996,0.1033,0.1663,0.07473,0.1934
0.07619,0.1429,0.04249,0.06740,0.1630, 1.000,0.1018,0.02125,0.02930,0.01905,0.02088,0.03004,0.02161,0.06520,0.08462,0.05788,0.05861,0.08974,0.1018
0.07985,0.2029,0.05788,0.04542,0.04872,0.1018, 1.000,0.03773,0.02454,0.02308,0.02234,0.04982,0.02015,0.06850,0.1498,0.08095,0.02894,0.04176,0.05165
0.09194,0.05897,0.1927,0.07949,0.03810,0.02125,0.03773, 1.000,0.07619,0.02930,0.08425,0.03516,0.1271,0.02198,0.05824,0.1597,0.07619,0.02418,0.04359
0.09194,0.04505,0.1000,0.1615,0.08425,0.02930,0.02454,0.07619, 1.000,0.03077,0.04249,0.06740,0.02198,0.03810,0.03187,0.07729,0.1363,0.03187,0.07436
0.01941,0.01685,0.01795,0.02271,0.03114,0.01905,0.02308,0.02930,0.03077, 1.000,0.03077,0.03040,0.03223,0.02418,0.02637,0.02051,0.03223,0.03333,0.02747
0.04725,0.03260,0.06960,0.03297,0.02784,0.02088,0.02234,0.08425,0.04249,0.03077, 1.000,0.03443,0.06630,0.03223,0.02637,0.05714,0.02967,0.02821,0.02125
0.03663,0.03480,0.03736,0.03883,0.02967,0.03004,0.04982,0.03516,0.06740,0.03040,0.03443, 1.000,0.03040,0.06813,0.03333,0.03407,0.04249,0.02967,0.03516
0.02527,0.02894,0.03810,0.02564,0.02088,0.02161,0.02015,0.1271,0.02198,0.03223,0.06630,0.03040, 1.000,0.02674,0.02051,0.03919,0.02454,0.04029,0.02088
0.03516,0.04286,0.02601,0.03150,0.03260,0.06520,0.06850,0.02198,0.03810,0.02418,0.03223,0.06813,0.02674, 1.000,0.04615,0.03114,0.02857,0.04322,0.02198
0.1322,0.2480,0.1125,0.08278,0.06996,0.08462,0.1498,0.05824,0.03187,0.02637,0.02637,0.03333,0.02051,0.04615, 1.000,0.1626,0.04066,0.03040,0.07326
0.3495,0.2300,0.3777,0.2088,0.1033,0.05788,0.08095,0.1597,0.07729,0.02051,0.05714,0.03407,0.03919,0.03114,0.1626, 1.000,0.1139,0.02564,0.09670
0.1271,0.07253,0.1319,0.1689,0.1663,0.05861,0.02894,0.07619,0.1363,0.03223,0.02967,0.04249,0.02454,0.02857,0.04066,0.1139, 1.000,0.02857,0.1619
0.03223,0.02821,0.02527,0.04505,0.07473,0.08974,0.04176,0.02418,0.03187,0.03333,0.02821,0.02967,0.04029,0.04322,0.03040,0.02564,0.02857, 1.000,0.07326
0.1264,0.09817,0.09963,0.1297,0.1934,0.1018,0.05165,0.04359,0.07436,0.02747,0.02125,0.03516,0.02088,0.02198,0.07326,0.09670,0.1619,0.07326, 1.000
